Time	[TCFBCatenin]	[pAkt]	[pERK]
0	8.8121	0	0
1	8.81252	1.57904e-07	7.96942e-12
2	8.81264	1.12753e-06	3.95119e-10
3	8.81267	3.41927e-06	3.64763e-09
4	8.81267	7.32666e-06	1.71533e-08
5	8.81268	1.30064e-05	5.60833e-08
6	8.81267	2.05281e-05	1.46156e-07
7	8.81267	2.9905e-05	3.26254e-07
8	8.81267	4.11135e-05	6.50896e-07
9	8.81267	5.41056e-05	1.19253e-06
10	8.81267	6.8816e-05	2.0437e-06
11	8.81267	8.51682e-05	3.31901e-06
12	8.81267	0.000103077	5.1569e-06
13	8.81267	0.000122452	7.72137e-06
14	8.81267	0.000143197	1.12034e-05
15	8.81267	0.000165214	1.58221e-05
16	8.81267	0.000188403	2.18263e-05
17	8.81266	0.000212663	2.94948e-05
18	8.81266	0.000237892	3.91381e-05
19	8.81266	0.000263988	5.1098e-05
20	8.81266	0.00029085	6.5749e-05
21	8.81266	0.000318379	8.34982e-05
22	8.81266	0.000346475	0.000104785
23	8.81266	0.000375043	0.000130084
24	8.81266	0.000403988	0.000159898
25	8.81266	0.000433219	0.000194768
26	8.81266	0.000462647	0.000235264
27	8.81265	0.000492187	0.000281988
28	8.81265	0.000521756	0.000335575
29	8.81265	0.000551276	0.000396689
30	8.81265	0.000580672	0.000466024
31	8.81265	0.000609872	0.000544306
32	8.81265	0.000638809	0.000632285
33	8.81265	0.000667419	0.00073074
34	8.81265	0.000695644	0.000840478
35	8.81265	0.000723426	0.000962329
36	8.81265	0.000750715	0.00109715
37	8.81265	0.000777463	0.00124581
38	8.81264	0.000803627	0.00140922
39	8.81264	0.000829167	0.00158829
40	8.81264	0.000854047	0.00178396
41	8.81264	0.000878236	0.00199718
42	8.81264	0.000901704	0.00222893
43	8.81264	0.000924428	0.00248019
44	8.81264	0.000946386	0.00275197
45	8.81264	0.000967561	0.00304527
46	8.81264	0.000987937	0.00336111
47	8.81264	0.0010075	0.00370054
48	8.81264	0.00102625	0.00406458
49	8.81264	0.00104418	0.00445428
50	8.81263	0.00106128	0.00487071
51	8.81263	0.00107755	0.0053149
52	8.81263	0.001093	0.00578792
53	8.81263	0.00110762	0.00629083
54	8.81263	0.00112144	0.00682468
55	8.81263	0.00113445	0.00739055
56	8.81263	0.00114666	0.00798948
57	8.81263	0.00115809	0.00862253
58	8.81263	0.00116875	0.00929074
59	8.81263	0.00117866	0.00999517
60	8.81263	0.00118783	0.0107368
61	8.81263	0.00119627	0.0115168
62	8.81262	0.00120401	0.0123361
63	8.81262	0.00121107	0.0131956
64	8.81262	0.00121746	0.0140965
65	8.81262	0.00122321	0.0150397
66	8.81262	0.00122834	0.0160262
67	8.81262	0.00123286	0.017057
68	8.81262	0.0012368	0.0181329
69	8.81262	0.00124018	0.0192551
70	8.81262	0.00124302	0.0204243
71	8.81262	0.00124535	0.0216415
72	8.81262	0.00124718	0.0229077
73	8.81262	0.00124854	0.0242236
74	8.81262	0.00124944	0.0255902
75	8.81261	0.00124992	0.0270083
76	8.81261	0.00124998	0.0284787
77	8.81261	0.00124966	0.0300023
78	8.81261	0.00124896	0.0315799
79	8.81261	0.00124792	0.0332122
80	8.81261	0.00124654	0.0349
81	8.81261	0.00124485	0.0366441
82	8.81261	0.00124286	0.0384453
83	8.81261	0.0012406	0.0403041
84	8.81261	0.00123807	0.0422213
85	8.81261	0.0012353	0.0441976
86	8.81261	0.0012323	0.0462337
87	8.81261	0.00122909	0.0483301
88	8.8126	0.00122567	0.0504875
89	8.8126	0.00122207	0.0527066
90	8.8126	0.0012183	0.0549878
91	8.8126	0.00121436	0.0573318
92	8.8126	0.00121028	0.0597392
93	8.8126	0.00120606	0.0622103
94	8.8126	0.00120171	0.0647459
95	8.8126	0.00119725	0.0673463
96	8.8126	0.00119268	0.070012
97	8.8126	0.00118801	0.0727435
98	8.8126	0.00118325	0.0755413
99	8.8126	0.00117842	0.0784057
100	8.8126	0.00117351	0.0813373
