# Output of 'KaSim' 'AMPA5_8020.ka' 'camkii.ka' 'pickgrip3.ka' 'Calcium_signalling.ka' 'K868.ka' 'K870.ka' 'K882.ka' 'Subunits.ka' 'Mod_LTP_PSD_10.ka' '-l' '10000' '-p' '1' '-o' 'late_LTP_Slot_10.out' -seed 199994055
# "uuid" : "526912890"
"[T]","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","23AMPA_GRIP_endo","23AMPA_GRIP_PSD","23AMPA_PICK_endo","23AMPA_PICK_PSD","23AMPA_NSF","23AMPA_GRIP_PICK_endo","23AMPA_GRIP_PICK_PSD","23AMPA_S880","23AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23","Gap"
14.,0,0,1,1,0,0,1,0,0,2,106,0,2,1.,29,1,20,21,0,0,0,102,1,4,4,1,7,11,50,0,26,0,27,18,0,0,1,12,3,2,0,7,2,0,0,10,3,30,0,1,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,50,0
15.,0,0,1,0,0,1,1,0,0,2,106,0,2,1.,29,1,20,21,1,0,0,104,1,6,6,1,8,14,48,0,23,0,20,15,0,0,1,12,5,3,1,5,3,1,0,12,2,30,0,1,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,50,0
16.,0,0,2,1,0,1,2,0,0,2,106,0,2,2.,27,2,21,23,0,1,0,104,5,11,11,0,15,20,52,0,17,0,22,12,0,0,1,10,4,3,0,5,1,0,0,14,2,30,1,5,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,50,0
17.,0,0,2,0,0,2,2,0,0,0,108,0,2,2.,27,2,21,23,1,2,0,105,4,11,11,1,4,23,48,0,27,0,21,17,0,0,1,11,6,5,2,2,4,2,1,14,2,30,1,4,201,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,50,0
18.,0,0,2,0,0,2,2,0,0,0,108,0,2,2.,27,2,21,23,0,2,0,104,0,10,10,1,6,33,44,0,22,0,19,15,0,0,2,12,9,6,1,2,5,1,1,13,2,30,2,0,201,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,50,0
19.,0,0,2,0,0,2,2,0,0,0,108,0,2,2.,28,2,20,22,0,2,0,104,2,9,9,1,3,33,46,0,29,0,27,19,0,0,1,10,9,3,2,4,3,1,1,16,2,30,1,2,201,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201,50,0
20.,0,0,2,0,0,2,2,0,0,0,108,0,2,2.,29,2,19,21,0,2,0,101,3,14,14,0,4,30,49,0,16,0,25,11,0,0,2,8,9,5,4,4,2,4,1,14,3,30,1,3,201,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201,50,0
21.,0,0,1,0,0,1,1,0,0,0,108,0,2,1.,32,1,17,18,0,1,0,104,5,15,15,1,4,29,46,0,20,0,17,10,0,0,1,12,7,8,1,0,2,1,0,12,2,30,0,5,201,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201,50,0
22.,0,0,1,0,0,1,1,0,0,0,108,1,1,1.,34,1,15,16,0,1,0,105,3,11,11,1,3,33,47,0,17,0,22,14,0,0,1,11,7,8,1,2,5,1,0,11,6,30,0,3,201,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,201,50,0
23.,0,0,1,0,0,1,1,0,0,0,108,0,2,1.,33,1,16,17,0,1,0,104,4,15,15,0,5,35,48,1,20,0,15,13,0,0,1,9,8,5,1,3,4,1,0,10,4,30,0,4,201,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,201,50,0
