"T","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
16.,49,148,96,1,4,6,2,2,2,10,0,488,148,0,0,0,0,0,1.5,0,6,2.5,0,4,0,0,9,14,94,1,7,400,9,6,15,2,3,30,2,9,227,1,40,9,493,493,0,17,1,1,0,1,662,538,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
17.,49,147,96,1,5,6,3,3,2,11,0,486,147,0,0,0,0,0,5.5,0,4,2.5,0,10,0,0,15,13,95,1,7,400,15,5,20,0,5,30,0,11,226,1,32,11,476,476,3,15,3,3,0,1,670,530,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
18.,47,148,96,5,2,5,4,5,3,7,0,488,148,0,0,0,0,0,4.5,0,7,3,1,9,0,0,16,14,94,2,6,400,16,7,23,0,7,30,3,13,225,1,29,13,476,476,0,16,5,5,0,4,670,530,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
19.,49,148,96,1,3,7,3,2,1,10,0,488,148,0,0,0,0,0,3,3,5,4,0,6,0,0,14,13,95,2,6,400,14,6,20,0,3,30,2,6,228,1,25,6,475,475,1,12,5,5,0,5,671,529,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
20.,47,145,97,3,9,5,7,2,1,14,0,484,145,0,0,0,0,0,1,1,5,1,1,5,0,0,8,15,93,1,7,400,8,8,16,0,6,30,3,14,233,1,28,13,480,480,2,16,3,3,0,3,667,533,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
21.,48,144,97,2,10,4,6,4,2,14,0,482,144,0,0,0,0,0,2,2,4,2.5,0,5,0,0,10,14,94,0,7,400,10,8,18,0,1,30,2,11,237,1,30,11,489,489,1,18,3,3,0,3,671,529,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
22.,49,147,97,1,6,3,2,3,3,9,0,488,147,0,0,0,0,0,2.5,3,6,3,0,8,0,0,14,14,94,1,7,400,14,10,24,0,7,30,2,8,238,1,29,8,491,491,0,22,2,2,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
23.,49,146,96,1,7,5,3,4,3,12,0,484,146,0,0,0,0,0,3.5,0,6,1.5,0,10,0,0,13,14,94,2,6,400,13,7,20,1,2,30,1,12,240,1,29,12,485,485,0,13,2,2,0,2,657,543,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
24.,49,146,98,1,6,3,4,3,1,9,0,488,146,0,0,0,0,0,3.5,3,4,1.5,0,11,0,0,14,13,95,2,6,400,14,11,25,0,4,30,0,7,239,1,28,7,504,504,0,14,1,1,0,1,663,537,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
25.,50,145,98,1,6,3,2,5,1,9,0,486,145,0,0,0,0,0,3.5,3,2,2.5,0,7,0,0,12,16,92,4,4,400,12,7,19,0,4,30,3,12,241,1,22,12,490,490,1,15,2,2,0,1,655,545,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
