# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_Delta16.ka' '-l' '5000' '-p' '1' '-o' 'Delta16_1.out' -seed 83107849
# "uuid" : "413308445"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,8,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
1.,48,148,97,2,3,4,5,3,2,7,0,490,148,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,21,87,2,10,0,3,7,10,0,3,30,2,6,881,6,4,6,464,464,2,11,2,2,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
2.,48,149,97,2,2,4,4,2,2,6,0,492,149,0,0,0,0,0,1.5,2,0,1,3,0,0,0,5,24,84,2,10,0,5,6,11,0,0,30,5,4,878,6,6,4,470,470,1,10,2,2,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
3.,49,148,95,0,5,5,3,4,5,10,0,486,148,0,0,0,0,0,0.5,4,0,0.5,4,0,0,0,5,24,84,5,9,0,5,9,14,0,3,30,1,8,878,7,6,6,474,474,1,16,3,3,0,3,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
4.,47,147,95,2,10,4,4,2,6,14,0,484,147,0,0,0,0,0,0.5,6,0,2,3,0,0,0,7,24,84,4,10,1,7,6,13,0,2,30,3,8,876,7,5,8,472,472,0,13,1,1,0,1,548,652,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
5.,47,149,96,2,4,4,6,2,4,8,0,490,149,0,0,0,0,0,0.5,3,0,1,2,0,0,0,4,23,85,1,13,1,4,6,10,0,3,30,2,6,877,7,4,6,482,482,1,16,2,2,0,2,549,651,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
6.,47,149,95,4,4,6,2,2,4,10,0,488,149,0,0,0,0,0,0.5,3,0,1,1,1,0,0,4,25,83,4,10,1,4,6,10,0,5,30,4,4,875,7,3,4,475,475,0,10,3,3,0,3,549,651,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
7.,49,147,96,1,5,5,3,4,3,10,0,486,147,0,0,0,0,0,0,3,0,0.5,2,0,0,0,3,25,83,2,12,3,3,8,11,0,1,30,4,7,879,7,5,7,485,485,0,21,3,3,0,2,547,653,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
8.,47,145,97,4,10,5,4,1,1,15,0,484,145,0,0,0,0,0,0,5,0,1.5,2,0,0,0,5,27,81,4,10,2,5,5,10,0,6,30,3,7,882,7,9,7,490,490,1,9,2,2,0,2,548,652,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
9.,49,146,98,1,4,2,6,6,2,6,0,488,146,0,0,0,0,0,0,7,0,0.5,5,1,0,0,7,24,84,2,12,1,7,5,12,0,7,30,4,10,879,6,5,10,490,490,0,15,1,1,0,1,549,651,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
