# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_weakLTP16.ka' '-l' '5000' '-p' '1' '-o' 'weakLTP16_3.out' -seed 155741728
# "uuid" : "562036821"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
15.,48,148,94,2,3,7,5,6,5,10,0,484,148,0,0,0,0,0,0.5,5,0,1.5,3,0,0,0,6,15,93,2,10,0,6,10,16,0,4,30,2,8,865,5,8,7,474,474,1,17,3,3,0,3,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
16.,49,145,95,1,11,5,1,4,5,16,0,480,145,0,0,0,0,0,2,6,0,2.5,3,2,0,0,10,17,91,1,9,0,10,8,18,0,3,30,3,4,865,6,11,4,485,485,1,14,5,5,0,3,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
17.,48,144,97,4,10,5,2,3,1,15,0,482,144,0,0,0,0,0,0.5,3,0,1,2,0,0,0,4,16,92,3,7,0,4,12,16,0,0,30,6,6,857,6,3,5,477,477,0,12,4,4,0,3,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
18.,48,146,97,1,8,4,6,2,2,12,0,486,146,0,0,0,0,0,1,4,0,0.5,4,1,0,0,6,17,91,1,9,4,6,8,14,0,7,30,3,10,854,6,8,10,491,491,1,16,7,7,0,6,545,655,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
19.,49,146,97,1,8,3,2,3,3,11,0,486,146,0,0,0,0,0,1,2,0,1.5,0,1,0,0,4,17,91,1,9,0,4,10,14,1,6,30,2,14,850,6,3,14,500,500,0,12,6,6,0,5,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
20.,48,148,95,3,5,7,1,2,3,12,0,486,148,0,0,0,0,0,1,2,0,0,4,0,0,0,4,15,93,2,8,0,4,9,13,0,5,30,4,9,847,6,5,9,492,492,1,13,3,3,0,3,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
21.,48,149,95,2,2,6,4,4,4,8,0,488,149,0,0,0,0,0,2,1,0,1,3,0,0,0,5,14,94,2,8,1,5,9,14,0,1,30,1,13,847,6,6,13,510,510,0,17,3,3,0,3,548,652,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
22.,49,147,96,1,5,3,3,6,5,8,0,486,147,0,0,0,0,0,3,5,0,3,5,0,0,0,11,13,95,0,10,0,11,9,20,0,7,30,4,7,844,6,8,6,512,512,1,9,4,4,0,3,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
23.,48,150,97,1,4,2,2,0,4,6,0,494,150,0,0,0,0,0,1,3,0,0,3,2,0,0,5,12,96,1,9,0,5,12,17,0,6,30,1,11,840,7,15,11,512,512,0,11,7,7,0,7,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
24.,47,149,95,3,6,6,2,0,4,12,0,488,149,0,0,0,0,0,0.5,4,0,1,2,1,0,0,5,17,91,2,8,0,5,10,15,0,1,30,2,8,843,7,5,8,516,516,3,13,6,6,0,5,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
25.,48,149,95,1,3,5,5,4,5,8,0,488,149,0,0,0,0,0,1.5,3,0,0.5,5,0,0,0,6,18,90,0,10,0,6,7,13,0,5,30,4,11,843,7,11,11,505,505,1,15,4,4,0,4,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
26.,49,148,96,1,3,7,3,2,1,10,0,488,148,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,16,92,0,10,0,3,11,14,1,3,30,5,9,841,6,8,9,510,510,1,13,2,2,0,2,549,651,0,499,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
27.,47,147,98,4,6,3,4,1,1,9,0,490,147,0,0,0,0,0,0,3,1,0.5,2,1,0,0,4,13,95,2,8,0,4,11,15,0,9,30,3,8,839,7,12,8,511,511,2,12,4,4,0,4,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
28.,48,148,95,2,5,5,3,4,5,10,0,486,148,0,0,0,0,0,0,4,0,0.5,0,3,0,0,4,14,94,2,8,4,4,10,14,0,3,30,6,8,838,7,10,8,495,495,1,13,5,5,0,4,545,655,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
29.,47,149,95,3,5,6,3,1,4,11,0,488,149,0,0,0,0,0,0.5,4,0,2,1,0,0,0,5,17,91,2,8,3,5,8,13,1,3,30,4,9,838,7,9,9,517,517,0,15,3,3,0,3,546,654,0,500,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
30.,47,147,96,3,6,5,6,3,3,11,0,486,147,0,0,0,0,0,0,7,0,2.5,2,0,0,0,7,21,87,1,9,2,7,11,18,0,7,30,2,9,835,7,9,9,518,518,0,19,4,4,0,3,547,653,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
31.,49,145,96,1,10,6,2,2,2,16,0,482,145,0,0,0,0,0,1,4,0,2,1,1,0,0,6,17,91,3,7,2,6,11,17,0,6,30,3,12,834,8,4,12,516,516,0,15,1,1,0,1,547,653,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
32.,48,149,97,2,3,3,3,2,3,6,0,492,149,0,0,0,0,0,1.5,5,0,2,3,1,0,0,8,18,90,3,7,2,8,9,17,0,7,30,3,6,833,8,6,6,532,532,0,20,5,5,0,5,547,653,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
