# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_Theta16.ka' '-l' '5000' '-p' '1' '-o' 'Theta16_2.out' -seed 42077964
# "uuid" : "848442923"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
15.,48,146,98,2,8,2,4,2,2,10,0,488,146,0,0,0,0,0,0,4,0,1.5,1,0,0,0,4,22,86,3,9,0,4,7,11,0,5,30,1,7,853,6,1,7,501,501,1,17,1,1,0,1,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,1,1,1
16.,48,149,97,2,3,2,3,3,4,5,0,492,149,0,0,0,0,0,1.5,2,0,1,3,0,0,0,5,24,84,1,11,1,5,7,12,1,7,30,1,14,847,5,2,13,494,494,0,18,2,2,0,2,550,650,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,1,1,1
17.,49,146,94,3,5,9,1,6,3,14,0,480,146,0,0,0,0,0,1.5,3,0,2,2,0,0,0,6,22,86,2,10,1,6,9,15,0,5,30,0,6,844,5,8,6,493,493,0,17,3,3,0,2,550,650,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,1,1,1
18.,45,147,97,8,6,4,4,2,2,10,0,488,147,0,0,0,0,0,1.5,4,2,1,6,1,0,0,9,21,87,3,9,1,9,9,18,1,6,30,1,9,840,5,3,9,475,475,0,13,3,3,0,3,550,650,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,1,1,1
19.,46,149,97,7,1,5,3,2,1,6,0,492,149,0,0,0,0,0,1.5,4,0,1.5,4,0,0,0,7,23,85,3,9,0,7,11,18,0,4,30,0,7,839,6,8,7,474,474,0,15,2,2,0,2,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
20.,49,145,98,4,6,2,0,6,2,8,0,486,145,0,0,0,0,0,1,3,1,1.5,3,0,0,0,6,24,84,3,9,0,6,4,10,0,3,30,2,6,839,6,0,6,491,491,1,15,4,4,0,3,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
21.,50,145,98,1,7,4,1,3,0,11,0,486,145,0,0,0,0,0,1.5,4,0,1.5,3,1,0,0,7,22,86,1,11,0,7,10,17,0,9,30,1,9,839,6,6,8,484,484,2,19,3,3,0,3,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
22.,49,146,98,3,4,4,2,4,0,8,0,488,146,0,0,0,0,0,1,3,0,0.5,4,0,0,0,5,24,84,1,10,0,5,7,12,0,5,30,2,13,842,6,4,13,500,500,1,19,2,2,0,2,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
23.,49,146,98,1,7,3,3,2,1,10,0,488,146,0,0,0,0,0,1.5,1,1,0.5,4,0,0,0,5,27,81,2,10,0,5,8,13,1,6,30,3,12,837,7,3,12,495,495,1,17,4,4,0,2,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
24.,51,144,97,0,7,4,1,7,2,11,0,482,144,0,0,0,0,0,0.5,4,0,0,4,1,0,0,5,28,80,4,8,0,5,15,20,2,3,30,0,10,836,7,6,10,495,495,1,14,3,3,0,1,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
25.,49,144,96,4,7,3,1,10,5,10,0,480,144,0,0,0,0,0,1.5,2,0,0.5,3,1,0,0,5,30,78,4,8,0,5,10,15,3,5,30,1,9,833,7,5,9,481,481,2,21,1,1,0,0,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
26.,50,141,97,1,11,5,5,8,1,16,0,476,141,0,0,0,0,0,0,3,0,0.5,1,1,0,0,3,29,79,2,10,0,3,5,8,0,0,30,1,16,835,8,6,16,482,482,1,16,2,2,0,2,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
27.,48,145,97,4,7,4,3,5,2,11,0,484,145,0,0,0,0,0,1.5,6,0,1,5,2,0,0,9,31,77,3,9,0,9,10,19,0,5,30,2,9,836,8,2,9,475,475,1,18,1,1,0,1,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
28.,47,148,96,4,4,6,4,2,2,10,0,488,148,0,0,0,0,0,0.5,5,1,1,5,0,0,0,7,30,78,2,10,0,7,8,15,0,3,30,2,10,832,9,2,10,468,468,1,14,2,2,0,2,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
29.,49,146,96,1,7,7,3,2,1,14,0,484,146,0,0,0,0,0,2,1,0,0.5,4,0,0,0,5,32,76,3,8,0,5,7,12,0,3,30,1,6,832,9,3,6,461,461,0,19,1,1,0,1,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
30.,49,147,98,2,3,3,3,4,1,6,0,490,147,0,0,0,0,0,1.5,2,0,2,1,0,0,0,5,32,76,2,10,2,5,4,9,0,7,30,0,15,830,9,6,14,470,470,0,14,2,2,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
31.,49,144,96,2,8,7,4,5,1,15,0,480,144,0,0,0,0,0,1,4,1,2.5,2,0,0,0,7,32,76,1,11,0,7,7,14,0,5,30,2,9,830,8,1,9,481,481,3,14,1,1,0,1,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
32.,50,146,97,2,3,5,1,6,1,8,0,486,146,0,0,0,0,0,1.5,2,0,1,3,0,0,0,5,28,80,3,9,0,5,7,12,1,6,30,8,10,832,8,2,10,503,503,0,19,1,1,0,1,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
33.,50,141,98,1,9,4,7,9,0,13,0,478,141,0,0,0,0,0,0.5,5,0,1,3,1,0,0,6,25,83,4,8,0,6,7,13,0,4,30,3,6,832,8,6,6,517,517,0,15,4,4,0,3,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
34.,49,142,99,6,7,2,1,9,0,9,0,482,142,0,0,0,0,0,1.5,4,1,0.5,6,1,0,0,8,23,85,1,11,0,8,9,17,0,4,30,3,10,831,9,2,10,512,512,0,9,4,4,0,2,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
35.,50,147,98,2,1,2,1,7,2,3,0,490,147,0,0,0,0,0,1.5,1,2,1,4,0,0,0,6,18,90,2,10,1,6,10,16,0,3,30,4,9,832,9,3,8,510,510,0,19,2,2,0,2,550,650,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
36.,48,146,96,5,5,6,1,5,2,11,0,484,146,0,0,0,0,0,0,5,0,0.5,3,1,0,0,5,17,91,0,12,0,5,9,14,0,6,30,3,11,834,9,4,11,511,511,1,20,3,3,0,3,551,649,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
37.,49,146,97,2,5,4,3,5,2,9,0,486,146,0,0,0,0,0,1,5,0,1.5,4,0,0,0,7,17,91,0,12,0,7,7,14,0,3,30,1,11,834,9,5,11,513,513,0,13,3,3,0,2,551,649,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
38.,50,145,97,1,3,4,5,9,2,7,0,484,145,0,0,0,0,0,1,4,0,1,4,0,0,0,6,16,92,2,10,2,6,5,11,1,7,30,1,10,834,10,5,10,524,524,0,9,3,3,0,3,549,651,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
39.,48,146,97,5,4,4,2,6,2,8,0,486,146,0,0,0,0,0,0.5,3,0,1,2,0,0,0,4,17,91,5,7,1,4,11,15,0,8,30,2,14,828,10,4,14,527,527,2,13,2,2,0,2,550,650,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
40.,49,147,94,2,4,10,2,4,2,14,0,482,147,0,0,0,0,0,1,2,0,0.5,3,0,0,0,4,13,95,1,11,1,4,7,11,0,6,30,0,11,822,10,5,11,505,505,1,11,1,1,0,1,550,650,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
41.,48,146,97,3,7,3,3,4,3,10,0,486,146,0,0,0,0,0,1,6,1,1,5,2,0,0,9,13,95,3,9,1,9,11,20,0,3,30,2,6,816,10,9,6,501,501,1,14,1,1,0,0,550,650,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
42.,47,144,96,4,6,7,10,7,1,13,0,480,144,0,0,0,0,0,1,4,0,1.5,2,1,0,0,6,14,94,1,11,1,6,7,13,0,5,30,1,12,815,11,10,11,518,518,0,14,3,3,0,3,550,650,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
43.,49,146,95,1,6,8,4,4,2,14,0,482,146,0,0,0,0,0,0,6,0,2,2,0,0,0,6,13,95,5,7,1,6,6,12,0,9,30,2,15,817,11,9,15,519,519,0,10,4,4,0,4,550,650,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
44.,48,147,96,3,5,7,3,2,1,12,0,486,147,0,0,0,0,0,0.5,3,1,1,2,1,0,0,5,15,93,2,10,1,5,8,13,2,4,30,3,13,816,11,10,13,523,523,1,13,5,5,0,5,550,650,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
45.,48,146,96,4,5,6,3,5,2,11,0,484,146,0,0,0,0,0,0.5,5,1,0.5,4,2,0,0,7,18,90,4,8,0,7,7,14,0,6,30,4,8,816,11,7,8,512,512,1,7,3,3,0,2,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
46.,49,147,97,1,4,5,4,3,1,9,0,488,147,0,0,0,0,0,2,4,1,1.5,4,2,0,0,9,18,90,2,10,0,9,6,15,1,7,30,3,10,812,11,14,10,513,513,0,16,1,1,0,0,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
47.,49,146,98,0,4,1,8,7,3,5,0,488,146,0,0,0,0,0,1,4,0,1,4,0,0,0,6,17,91,2,10,0,6,5,11,0,3,30,1,7,813,11,11,7,494,494,0,11,0,0,0,0,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
48.,49,147,97,1,6,6,2,0,0,12,0,488,147,0,0,0,0,0,1,1,0,1,1,0,0,0,3,20,88,4,8,0,3,10,13,0,5,30,2,10,812,11,6,10,499,499,0,12,3,3,0,2,551,649,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
49.,47,148,96,3,5,6,5,1,2,11,0,488,148,0,0,0,0,0,2,4,0,2,2,2,0,0,8,20,88,4,8,1,8,12,20,0,12,30,1,12,813,11,4,12,485,485,1,12,1,1,0,1,550,650,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
50.,48,148,97,2,2,4,6,4,2,6,0,490,148,0,0,0,0,0,1,2,1,1,3,0,0,0,5,18,90,2,8,1,5,7,12,0,4,30,4,8,810,11,6,8,481,481,0,13,1,1,0,1,550,650,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
51.,49,149,99,1,1,1,3,2,1,2,0,496,149,0,0,0,0,0,1.5,4,0,1,5,0,0,0,7,16,92,0,10,2,7,10,17,0,2,30,5,8,810,11,11,8,494,494,0,11,0,0,0,0,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
52.,50,145,97,1,8,5,0,3,1,13,0,484,145,0,0,0,0,0,1,6,1,1.5,5,1,0,0,9,15,93,2,8,0,9,9,18,0,2,30,6,8,807,10,9,8,505,505,0,17,0,0,0,0,552,648,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
53.,48,144,98,2,11,3,5,2,1,14,0,484,144,0,0,0,0,0,0.5,4,0,1,2,1,0,0,5,15,93,1,9,0,5,14,19,0,5,30,2,9,803,10,8,9,515,515,0,14,1,1,0,1,552,648,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
54.,48,143,98,3,12,3,4,3,1,15,0,482,143,0,0,0,0,0,1,5,1,2,3,1,0,0,8,11,97,4,6,0,8,11,19,1,4,30,4,7,804,10,8,7,516,516,1,14,1,1,0,0,552,648,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
55.,50,144,98,3,6,2,0,8,2,8,0,484,144,0,0,0,0,0,2.5,3,0,2,4,0,0,0,8,14,94,3,7,0,8,8,16,0,9,30,4,18,798,9,10,18,523,523,2,9,2,2,0,2,552,648,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
56.,49,146,97,2,6,5,2,3,1,11,0,486,146,0,0,0,0,0,1,5,0,2.5,1,1,0,0,7,17,91,2,8,0,7,9,16,0,6,30,3,10,799,9,6,10,519,519,1,11,0,0,0,0,552,648,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
57.,50,146,96,0,7,5,1,4,3,12,0,484,146,0,0,0,0,0,1,6,0,2.5,1,2,0,0,8,17,91,3,7,0,8,9,17,2,5,30,3,9,798,7,6,9,509,509,0,15,0,0,0,0,552,648,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
58.,50,146,95,0,4,8,4,6,2,12,0,482,146,0,0,0,0,0,0.5,3,0,0.5,2,1,0,0,4,15,93,1,9,2,4,6,10,0,4,30,0,7,797,7,6,7,485,485,0,12,5,5,0,3,550,650,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
59.,50,145,95,1,7,7,1,6,3,14,0,480,145,0,0,0,0,0,1,6,0,2,2,2,0,0,8,15,93,1,9,2,8,10,18,1,2,30,0,15,795,8,10,15,496,496,0,11,5,5,0,5,550,650,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
60.,49,147,98,2,4,2,2,4,2,6,0,490,147,0,0,0,0,0,1.5,3,0,1,3,1,0,0,6,16,92,2,8,0,6,8,14,0,9,30,0,8,796,8,9,8,492,492,0,19,4,4,0,4,552,648,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
61.,47,146,96,5,8,6,2,2,2,14,0,484,146,0,0,0,0,0,0.5,6,0,1,2,3,0,0,7,16,92,1,9,2,7,10,17,1,3,30,0,9,795,6,9,9,494,494,2,15,3,3,0,3,552,648,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
62.,49,146,97,1,7,4,3,3,2,11,0,486,146,0,0,0,0,0,0.5,8,0,3,3,0,0,0,9,16,92,2,8,1,9,11,20,0,3,30,0,10,794,7,4,10,502,502,1,16,2,2,0,2,553,647,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
63.,47,146,97,5,8,3,2,3,3,11,0,486,146,0,0,0,0,0,1,3,0,1,3,0,0,0,5,15,93,2,8,1,5,12,17,1,9,30,1,6,794,7,8,6,501,501,1,9,0,0,0,0,553,647,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
64.,48,145,96,5,7,5,1,6,3,12,0,482,145,0,0,0,0,0,1,9,0,3.5,3,1,0,0,11,17,91,0,10,0,11,11,22,2,5,30,1,12,790,7,6,12,488,488,0,14,2,2,0,1,554,646,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
65.,49,147,98,0,7,2,3,1,2,9,0,490,147,0,0,0,0,0,2.5,3,0,2,3,1,0,0,8,18,90,3,7,0,8,8,16,0,8,30,1,10,787,7,5,10,487,487,1,13,0,0,0,0,554,646,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
66.,47,148,95,2,5,5,7,4,5,10,0,486,148,0,0,0,0,0,1.5,9,0,4,3,1,0,0,12,19,89,1,9,1,12,13,25,0,4,30,2,8,783,7,5,8,491,491,0,14,2,2,0,1,553,647,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
67.,48,150,96,1,3,3,3,2,5,6,0,492,150,0,0,0,0,0,2,3,0,1,4,1,0,0,7,14,94,0,10,1,7,6,13,0,6,30,2,7,779,8,6,6,485,485,1,16,4,4,0,4,553,647,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
68.,48,148,97,1,6,4,4,0,2,10,0,490,148,0,0,0,0,0,1,5,0,1.5,2,2,0,0,7,13,95,1,9,2,7,10,17,0,3,30,5,9,782,8,10,9,493,493,0,18,2,2,0,2,552,648,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
69.,48,146,98,4,7,4,1,1,0,11,0,488,146,0,0,0,0,0,2.5,5,2,3.5,3,2,0,0,12,12,96,0,10,1,12,12,24,1,5,30,2,6,782,9,8,6,479,479,0,8,3,3,0,2,553,647,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
70.,48,147,97,3,4,4,4,4,2,8,0,488,147,0,0,0,0,0,2,4,0,3,2,0,0,0,8,14,94,0,10,3,8,11,19,0,7,30,2,8,782,9,9,7,477,477,0,19,4,4,0,4,551,649,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
71.,49,147,97,2,3,4,3,5,2,7,0,488,147,0,0,0,0,0,2,5,0,2.5,3,1,0,0,9,14,94,3,7,1,9,9,18,0,4,30,1,9,776,9,7,9,483,483,2,10,2,2,0,2,553,647,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
72.,48,146,96,2,9,5,3,2,3,14,0,484,146,0,0,0,0,0,2,3,0,1,3,2,0,0,7,17,91,2,8,0,7,10,17,0,6,30,0,8,769,9,8,8,478,478,1,12,0,0,0,0,554,646,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,26,25,25,1,1,1,1,1
73.,47,150,98,5,0,3,2,1,1,3,0,496,150,0,0,0,0,0,1.5,1,0,0.5,3,0,0,0,4,17,91,0,9,2,4,9,13,2,4,30,1,9,763,8,7,8,486,486,1,14,1,1,0,1,552,648,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,26,25,25,1,1,1,1,1
74.,47,148,97,5,5,2,1,3,4,7,0,490,148,0,0,0,0,0,0.5,1,0,0.5,0,1,0,0,2,18,90,1,9,0,2,7,9,0,7,30,2,11,760,8,11,11,481,481,0,14,4,4,0,4,554,646,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,26,25,25,1,1,1,1,1
75.,49,147,99,2,5,1,1,2,1,6,0,492,147,0,0,0,0,0,1,3,0,0.5,3,1,0,0,5,18,90,1,9,1,5,8,13,0,0,30,1,12,759,8,4,12,480,480,2,10,4,4,0,3,553,647,0,499,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,26,25,25,1,1,1,1,1
