# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_Delta16.ka' '-l' '5000' '-p' '1' '-o' 'Delta16_3.out' -seed 831269643
# "uuid" : "850459710"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
15.,48,148,95,3,5,5,1,4,5,10,0,486,148,0,0,0,0,0,1.5,2,0,1,1,2,0,0,5,21,87,4,10,2,5,11,16,0,6,30,2,10,874,10,5,9,465,465,0,17,5,5,0,4,551,649,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
16.,48,149,97,1,4,4,4,0,2,8,0,492,149,0,0,0,0,0,0,3,0,0.5,2,0,0,0,3,21,87,3,11,2,3,7,10,0,5,30,4,6,874,10,10,6,458,458,1,10,3,3,0,2,551,649,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
17.,49,147,96,1,5,6,3,3,2,11,0,486,147,0,0,0,0,0,0.5,4,0,0.5,3,1,0,0,5,20,88,2,12,3,5,12,17,1,9,30,3,5,874,10,6,5,467,467,0,7,4,4,0,4,550,650,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
18.,49,148,97,0,5,4,3,1,2,9,0,490,148,0,0,0,0,0,0.5,6,0,1,5,0,0,0,7,20,88,4,10,1,7,5,12,0,3,30,1,7,875,10,7,7,460,460,0,15,2,2,0,2,552,648,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
19.,49,147,98,2,4,2,2,4,2,6,0,490,147,0,0,0,0,0,0,3,1,1.5,1,0,0,0,4,22,86,3,11,1,4,9,13,0,9,30,1,3,877,12,8,3,473,473,1,12,2,2,0,1,552,648,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
20.,50,147,97,0,4,2,2,6,4,6,0,488,147,0,0,0,0,0,1,5,0,0.5,5,1,0,0,7,26,82,3,11,2,7,9,16,0,6,30,2,12,873,12,8,12,464,464,0,13,2,2,0,1,551,649,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
21.,49,147,95,1,4,6,4,6,4,10,0,484,147,0,0,0,0,0,0.5,4,0,0.5,4,0,0,0,5,26,82,4,10,2,5,6,11,0,4,30,0,16,872,12,8,16,476,476,1,14,1,1,0,1,551,649,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
22.,48,149,98,1,4,1,4,1,3,5,0,494,149,0,0,0,0,0,2,3,0,1.5,3,1,0,0,7,30,78,6,8,0,7,10,17,0,6,30,2,10,872,10,1,10,481,481,0,17,2,2,0,1,554,646,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
23.,50,148,96,0,4,5,0,3,3,9,0,488,148,0,0,0,0,0,1,6,0,1.5,4,1,0,0,8,32,76,6,8,0,8,10,18,0,2,30,1,5,866,10,6,5,492,492,0,15,2,2,0,1,554,646,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
24.,47,150,95,4,4,5,0,1,5,9,0,490,150,0,0,0,0,0,0.5,4,0,1,3,0,0,0,5,29,79,2,12,0,5,7,12,0,7,30,1,8,867,10,5,8,474,474,1,11,2,2,0,2,554,646,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
25.,48,149,93,1,4,6,4,6,8,10,0,484,149,0,0,0,0,0,1.5,3,0,2,2,0,0,0,6,28,80,2,12,0,6,5,11,0,4,30,2,6,866,8,4,6,463,463,5,11,3,3,0,1,554,646,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
26.,47,149,96,3,5,2,3,3,6,7,0,490,149,0,0,0,0,0,1,4,0,1,4,0,0,0,6,24,84,4,10,0,6,5,11,0,4,30,1,15,869,8,8,15,479,479,0,13,3,3,0,2,554,646,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
27.,48,148,96,1,7,4,3,1,4,11,0,488,148,0,0,0,0,0,1.5,7,0,3,2,2,0,0,10,22,86,4,10,0,10,4,14,0,4,30,2,5,870,7,8,5,466,466,3,12,1,1,0,1,554,646,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
28.,47,146,94,3,9,7,5,4,5,16,0,480,146,0,0,0,0,0,0,4,0,0.5,3,0,0,0,4,22,86,3,11,1,4,7,11,0,6,30,1,14,871,7,7,13,466,466,0,13,1,1,0,0,555,645,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
29.,48,148,92,3,5,11,1,4,5,16,0,480,148,0,0,0,0,0,0.5,3,0,0.5,3,0,0,0,4,23,85,3,11,1,4,8,12,1,2,30,3,13,868,7,6,11,475,475,0,16,1,1,0,1,555,645,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
30.,48,147,96,2,6,3,4,5,5,9,0,486,147,0,0,0,0,0,0.5,3,1,1.5,2,0,0,0,5,26,82,3,11,0,5,6,11,0,4,30,3,8,872,9,10,8,498,498,0,16,2,2,0,2,556,644,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
31.,47,145,97,3,10,4,6,2,2,14,0,484,145,0,0,0,0,0,1,4,0,1,3,1,0,0,6,26,82,5,9,4,6,5,11,0,4,30,1,13,870,9,2,13,508,508,2,11,4,4,0,3,552,648,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
32.,49,146,97,2,7,2,1,5,4,9,0,486,146,0,0,0,0,0,0,3,0,0.5,2,0,0,0,3,22,86,4,8,0,3,10,13,0,7,30,4,10,870,9,5,10,497,497,1,14,4,4,0,4,556,644,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
33.,47,147,96,7,2,6,2,6,2,8,0,486,147,0,0,0,0,0,0.5,2,0,0.5,2,0,0,0,3,20,88,4,8,0,3,9,12,0,3,30,4,5,865,7,8,5,494,494,3,20,3,3,0,2,556,644,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
34.,49,144,98,3,7,2,3,7,2,9,0,484,144,0,0,0,0,0,0.5,5,0,1,4,0,0,0,6,19,89,3,9,0,6,8,14,0,2,30,5,9,862,6,10,8,497,497,0,13,2,2,0,2,556,644,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
35.,49,145,97,1,7,3,5,6,3,10,0,484,145,0,0,0,0,0,1.5,1,0,1,2,0,0,0,4,21,87,3,9,0,4,10,14,0,4,30,4,10,862,6,7,10,489,489,1,13,3,3,0,2,556,644,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
36.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,0.5,3,0,0.5,2,1,0,0,4,23,85,2,10,0,4,12,16,0,6,30,7,10,862,6,2,10,472,472,1,12,2,2,0,2,556,644,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
37.,50,145,100,1,6,0,2,4,0,6,0,490,145,0,0,0,0,0,1.5,3,0,1.5,3,0,0,0,6,24,84,2,10,1,6,7,13,0,3,30,6,12,861,6,5,11,469,469,1,11,3,3,0,3,555,645,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
38.,49,145,97,2,8,4,2,4,2,12,0,484,145,0,0,0,0,0,0.5,7,0,2.5,3,0,0,0,8,25,83,0,12,1,8,4,12,1,4,30,6,10,861,7,2,10,485,485,0,15,1,1,0,1,555,645,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
39.,46,148,98,5,5,1,5,2,3,6,0,492,148,0,0,0,0,0,0,4,0,0.5,3,0,0,0,4,24,84,1,11,2,4,8,12,0,6,30,3,11,867,7,10,10,500,500,1,11,4,4,0,3,554,646,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
40.,48,147,99,0,8,0,6,0,2,8,0,492,147,0,0,0,0,0,1.5,3,1,1.5,4,0,0,0,7,26,82,1,13,0,7,9,16,0,2,30,2,12,869,7,4,11,533,533,2,22,1,1,0,1,556,644,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
41.,46,147,97,5,7,2,5,3,4,9,0,488,147,0,0,0,0,0,1,4,0,1,4,0,0,0,6,25,83,2,12,3,6,1,7,0,8,30,0,10,865,7,6,9,544,544,1,10,3,3,0,2,553,647,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
42.,48,149,96,1,5,3,3,2,5,8,0,490,149,0,0,0,0,0,1,3,1,1.5,2,1,0,0,6,24,84,2,10,1,6,4,10,0,5,30,2,14,860,7,3,14,543,543,1,12,3,3,0,3,555,645,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
43.,47,148,94,3,8,5,2,3,7,13,0,484,148,0,0,0,0,0,0,3,0,0,3,0,0,0,3,25,83,2,12,1,3,6,9,0,2,30,1,10,862,6,4,9,539,539,1,7,5,5,0,4,555,645,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
44.,49,147,96,0,9,4,1,1,4,13,0,486,147,0,0,0,0,0,0,4,0,0,3,1,0,0,4,22,86,3,11,0,4,9,13,0,4,30,0,9,866,6,3,8,524,524,1,11,3,3,0,2,556,644,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
45.,47,149,96,4,4,2,2,4,6,6,0,490,149,0,0,0,0,0,1.5,3,0,1.5,3,0,0,0,6,24,84,4,10,0,6,5,11,0,6,30,1,10,863,7,1,10,519,519,1,20,4,4,0,4,556,644,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
46.,47,150,96,3,1,5,5,2,3,6,0,492,150,0,0,0,0,0,1.5,4,1,2,4,0,0,0,8,25,83,2,11,0,8,8,16,1,1,30,1,18,859,7,1,18,526,526,1,12,2,2,0,2,556,644,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
47.,48,150,95,1,4,5,2,1,5,9,0,490,150,0,0,0,0,0,1.5,4,0,1.5,4,0,0,0,7,25,83,3,11,0,7,7,14,1,4,30,1,10,859,7,5,10,513,513,0,12,3,3,0,3,556,644,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
48.,46,147,95,5,5,7,7,4,3,12,0,484,147,0,0,0,0,0,1,1,0,0.5,1,1,0,0,3,26,82,3,11,0,3,9,12,0,3,30,1,12,858,7,7,12,522,522,3,18,3,3,0,2,556,644,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
49.,47,148,96,4,6,5,2,1,3,11,0,488,148,0,0,0,0,0,0,5,0,1,3,0,0,0,5,28,80,4,10,0,5,5,10,0,7,30,5,4,860,8,4,4,516,516,0,12,2,2,0,0,556,644,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
50.,47,148,95,3,7,5,3,2,5,12,0,486,148,0,0,0,0,0,1.5,4,0,1.5,4,0,0,0,7,29,79,3,11,0,7,5,12,0,4,30,4,10,861,9,6,10,515,515,0,15,4,4,0,3,556,644,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
51.,48,147,95,2,5,8,5,3,2,13,0,484,147,0,0,0,0,0,1,1,0,0.5,1,1,0,0,3,29,79,4,10,0,3,7,10,0,3,30,3,13,866,10,3,13,520,520,0,14,4,4,0,2,556,644,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
52.,49,144,98,3,8,4,2,4,0,12,0,484,144,0,0,0,0,0,0.5,3,0,1,1,1,0,0,4,29,79,4,10,0,4,9,13,0,3,30,2,9,870,10,3,9,520,520,0,11,5,5,0,5,556,644,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
53.,49,147,99,1,4,2,4,2,0,6,0,492,147,0,0,0,0,0,1.5,4,0,1,5,0,0,0,7,29,79,3,11,4,7,8,15,0,1,30,0,8,872,10,4,8,510,510,1,14,5,5,0,4,552,648,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
54.,49,147,94,2,5,9,1,4,3,14,0,482,147,0,0,0,0,0,1,2,0,0.5,3,0,0,0,4,26,82,1,13,0,4,8,12,0,9,30,0,14,869,10,3,13,511,511,1,23,3,3,0,3,556,644,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
55.,47,147,97,4,4,2,6,6,4,6,0,488,147,0,0,0,0,0,1,3,0,1,3,0,0,0,5,28,80,2,12,1,5,6,11,0,6,30,2,10,867,9,6,10,496,496,1,15,3,3,0,3,555,645,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
56.,48,146,96,3,9,4,1,3,4,13,0,484,146,0,0,0,0,0,0.5,4,0,0.5,3,1,0,0,5,29,79,4,10,2,5,7,12,0,5,30,1,7,868,9,6,7,493,493,0,14,3,3,0,1,554,646,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
57.,48,150,94,2,2,6,2,4,6,8,0,488,150,0,0,0,0,0,0.5,4,0,1,3,0,0,0,5,24,84,5,9,2,5,11,16,0,3,30,3,12,872,11,7,12,478,478,2,16,3,3,0,3,554,646,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
58.,48,147,97,3,5,5,3,2,1,10,0,488,147,0,0,0,0,0,0,2,0,0,2,0,0,0,2,23,85,3,9,2,2,8,10,0,8,30,6,12,874,11,6,11,480,480,0,11,1,1,0,1,554,646,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
59.,49,149,97,0,5,3,1,0,3,8,0,492,149,0,0,0,0,0,0.5,3,0,1.5,1,0,0,0,4,23,85,2,12,0,4,5,9,0,5,30,4,9,876,10,4,9,472,472,0,12,2,2,0,2,556,644,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
60.,49,146,97,1,7,3,3,4,3,10,0,486,146,0,0,0,0,0,0.5,1,0,0,2,0,0,0,2,23,85,2,12,1,2,6,8,0,2,30,4,4,877,10,4,4,460,460,0,14,2,2,0,2,555,645,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
61.,48,149,98,3,3,3,1,0,1,6,0,494,149,0,0,0,0,0,0.5,4,0,1,3,0,0,0,5,25,83,1,13,1,5,9,14,0,3,30,3,9,874,10,4,7,468,468,0,13,2,2,0,2,555,645,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
62.,49,148,96,0,6,2,2,4,6,8,0,488,148,0,0,0,0,0,0.5,4,0,0,4,1,0,0,5,22,86,4,10,0,5,12,17,0,7,30,3,11,871,10,7,10,465,465,0,14,1,1,0,1,556,644,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
63.,50,147,98,0,4,3,2,3,1,7,0,490,147,0,0,0,0,0,0.5,3,0,1,2,0,0,0,4,20,88,4,8,0,4,8,12,0,6,30,6,11,870,10,8,11,487,487,1,12,4,4,0,4,556,644,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
64.,47,146,96,4,8,6,4,2,2,14,0,484,146,0,0,0,0,0,0.5,3,0,1,2,0,0,0,4,20,88,2,9,2,4,10,14,0,3,30,5,7,871,10,6,7,485,485,1,14,5,5,0,4,554,646,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
65.,48,148,96,4,2,5,2,5,3,7,0,488,148,0,0,0,0,0,0.5,5,1,1.5,4,0,0,0,7,16,92,2,10,0,7,8,15,0,4,30,2,10,868,10,8,10,485,485,1,10,4,4,0,4,556,644,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
66.,50,143,98,1,10,2,2,6,2,12,0,482,143,0,0,0,0,0,0,1,1,0,2,0,0.5,0,1,19,89,2,10,1,2,7,9,0,9,30,6,16,867,10,5,15,506,506,1,11,3,3,0,2,555,645,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
67.,50,145,96,1,5,6,3,7,2,11,0,482,145,0,0,0,0,0,0,2,0,0,2,0,0,0,2,19,89,0,12,2,2,6,8,0,8,30,8,6,867,10,8,6,486,486,2,15,3,3,0,2,554,646,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
68.,49,147,96,2,3,5,3,6,3,8,0,486,147,0,0,0,0,0,1,4,0,0.5,5,0,0,0,6,19,89,5,9,1,6,8,14,0,6,30,3,8,863,9,6,8,480,480,0,14,1,1,0,1,555,645,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
69.,49,143,97,3,8,5,4,7,1,13,0,480,143,0,0,0,0,0,0,3,0,0.5,2,0,0,0,3,21,87,4,10,3,3,9,12,0,7,30,2,7,862,9,2,6,476,476,0,13,3,3,0,3,553,647,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
70.,48,145,97,4,6,6,4,4,0,12,0,484,145,0,0,0,0,0,0.5,3,0,1,2,0,0,0,4,20,88,5,9,0,4,8,12,0,8,30,2,9,864,9,7,9,491,491,1,13,3,3,0,1,556,644,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
71.,48,147,98,4,3,2,3,5,2,5,0,490,147,0,0,0,0,0,0.5,5,0,1,4,0,0,0,6,21,87,4,10,2,6,11,17,0,3,30,1,9,859,9,6,9,501,501,1,13,2,2,0,2,554,646,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
72.,48,146,97,4,4,4,4,6,2,8,0,486,146,0,0,0,0,0,1,5,0,2,3,0,0,0,7,21,87,3,11,2,7,9,16,1,8,30,3,8,856,8,10,8,491,491,2,14,3,3,0,3,554,646,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
73.,48,149,98,3,2,3,2,1,1,5,0,494,149,0,0,0,0,0,0,5,0,0.5,4,0,0,0,5,24,84,5,9,1,5,10,15,0,0,30,2,13,857,8,5,13,510,510,0,11,2,2,0,0,555,645,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
74.,48,148,95,2,5,7,3,2,3,12,0,486,148,0,0,0,0,0,0.5,3,0,1,2,0,0,0,4,24,84,3,11,3,4,6,10,0,7,30,3,10,860,8,4,9,526,526,0,14,3,3,0,2,553,647,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
75.,49,148,96,1,3,6,3,3,2,9,0,488,148,0,0,0,0,0,0.5,5,1,0.5,5,1,0,0,7,23,85,3,10,2,7,8,15,0,4,30,3,12,855,9,7,12,515,515,1,11,1,1,0,1,554,646,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,2,2
