# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_sTheta16.ka' '-l' '5000' '-p' '1' '-o' 'sTheta16_3.out' -seed 409349034
# "uuid" : "323092662"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
15.,47,144,97,9,5,5,1,8,1,10,0,482,144,0,0,0,0,0,1,5,0,1.5,4,0,0,0,7,25,83,2,10,0,7,8,15,0,5,30,2,9,873,8,4,9,481,481,0,13,4,4,0,4,549,651,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
16.,48,147,98,4,2,2,4,6,2,4,0,490,147,0,0,0,0,0,0,8,0,1.5,4,1,0,0,8,23,85,3,9,0,8,7,15,0,3,30,1,5,870,8,5,5,473,473,1,10,3,3,0,3,549,651,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
17.,48,146,96,4,6,5,2,5,3,11,0,484,146,0,0,0,0,0,1.5,6,0,2,4,1,0,0,9,21,87,2,10,0,9,5,14,0,5,30,1,7,874,8,9,7,479,479,0,12,2,2,0,2,549,651,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
18.,49,148,97,1,2,4,4,4,2,6,0,490,148,0,0,0,0,0,1,9,0,3.5,2,2,0,0,11,18,90,3,9,2,11,8,19,1,6,30,0,7,876,7,7,7,497,497,0,12,4,4,0,4,547,653,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
19.,48,146,98,4,6,3,2,3,1,9,0,488,146,0,0,0,0,0,0.5,3,0,0.5,2,1,0,0,4,18,90,1,11,2,4,5,9,0,5,30,2,8,875,6,4,8,496,496,0,12,1,1,0,1,547,653,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
20.,47,148,95,3,4,8,6,2,2,12,0,486,148,0,0,0,0,0,0.5,6,0,2,3,0,0,0,7,20,88,1,11,0,7,5,12,0,6,30,4,7,872,6,5,7,469,469,2,14,1,1,0,1,549,651,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
21.,45,146,96,6,9,6,7,1,2,15,0,484,146,0,0,0,0,0,0,2,0,0.5,0,1,0,0,2,20,88,2,10,0,2,5,7,0,4,30,4,7,870,6,1,7,456,456,1,17,2,2,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
22.,50,149,95,0,2,7,0,3,3,9,0,488,149,0,0,0,0,0,1,6,0,2,2,2,0,0,8,20,88,2,10,0,8,5,13,0,4,30,3,8,871,6,7,8,463,463,2,12,3,3,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
23.,49,148,95,1,3,7,3,4,3,10,0,486,148,0,0,0,0,0,1,7,1,4,2,0,0,0,10,22,86,2,10,1,10,4,14,0,4,30,2,8,866,4,4,8,458,458,0,11,3,3,0,3,548,652,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
24.,47,147,96,3,5,6,7,3,2,11,0,486,147,0,0,0,0,0,2,5,0,2.5,3,1,0,0,9,21,87,1,11,1,9,9,18,0,2,30,3,7,862,4,5,7,477,477,2,15,1,1,0,1,548,652,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
