# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_LFS16.ka' '-l' '5000' '-p' '1' '-o' 'LFS16_4.out' -seed 94595209
# "uuid" : "388533977"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
15.,48,148,96,3,3,5,3,4,3,8,0,488,148,0,0,0,0,0,2,5,0,1.5,5,1,0,0,9,17,91,1,11,0,9,8,17,0,7,30,9,19,894,8,9,19,685,685,0,14,5,5,0,5,549,651,0,500,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
16.,49,146,95,2,7,6,1,5,4,13,0,482,146,0,0,0,0,0,1,6,0,1,5,1,0,0,8,17,91,6,8,0,8,6,14,1,4,30,2,13,895,8,7,13,697,697,0,12,5,5,0,5,549,651,0,500,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
17.,49,145,97,1,7,4,5,5,2,11,0,484,145,0,0,0,0,0,1,4,0,0.5,4,1,0,0,6,20,88,0,13,0,6,6,12,0,7,30,10,16,891,9,2,15,694,694,0,19,5,5,0,4,549,651,0,500,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
18.,49,149,98,1,2,2,2,2,2,4,0,494,149,0,0,0,0,0,0.5,6,0,1.5,4,0,0,0,7,22,86,3,11,0,7,8,15,1,5,30,10,21,884,9,4,21,706,706,0,12,5,5,0,3,549,651,0,500,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
19.,48,149,99,3,1,1,3,2,1,2,0,496,149,0,0,0,0,0,1.5,7,0,0,7,3,0,0,10,23,85,5,9,0,10,11,21,1,7,30,7,14,886,10,8,14,699,699,1,11,9,9,0,7,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
20.,47,148,97,5,4,2,2,4,4,6,0,490,148,0,0,0,0,0,0.5,6,0,1,4,1,0,0,7,29,79,3,11,0,7,6,13,0,10,30,4,16,886,10,6,16,714,714,1,14,9,9,0,9,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
21.,48,147,97,3,8,2,0,2,4,10,0,488,147,0,0,0,0,0,0.5,5,0,1.5,2,1,0,0,6,30,78,3,9,0,6,4,10,0,2,30,9,14,885,10,3,14,706,706,1,15,5,5,0,5,549,651,0,499,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
22.,47,148,97,3,6,3,4,1,3,9,0,490,148,0,0,0,0,0,1.5,8,0,2,6,1,0,0,11,30,78,3,9,0,11,7,18,0,5,30,8,13,890,11,9,13,706,706,1,17,5,5,0,4,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
23.,47,147,97,3,4,4,8,4,2,8,0,488,147,0,0,0,0,0,1,6,0,1.5,4,1,0,0,8,30,78,0,12,0,8,9,17,1,2,30,6,12,896,10,6,12,694,694,0,13,6,6,0,4,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
24.,50,146,96,1,4,8,2,4,0,12,0,484,146,0,0,0,0,0,0.5,7,0,1,6,0,0,0,8,32,76,3,9,2,8,2,10,1,7,30,6,21,900,9,4,21,698,698,2,14,8,8,0,6,547,653,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
25.,48,143,99,3,10,2,6,4,0,12,0,484,143,0,0,0,0,0,0.5,2,0,1,1,0,0,0,3,32,76,3,9,1,3,9,12,0,5,30,5,11,897,9,0,10,700,700,2,17,7,7,0,6,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
26.,49,146,97,1,5,4,5,5,2,9,0,486,146,0,0,0,0,0,0.5,6,0,2,2,1,0,0,7,31,77,2,10,1,7,11,18,0,5,30,7,12,901,9,5,12,726,726,2,19,4,4,0,3,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
27.,50,146,97,1,5,4,1,5,2,9,0,486,146,0,0,0,0,0,0,7,0,2.5,1,1,0,0,7,31,77,5,9,2,7,10,17,0,3,30,7,18,900,9,4,17,710,710,0,13,2,2,0,2,547,653,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
28.,48,145,96,4,7,5,3,6,3,12,0,482,145,0,0,0,0,0,0.5,3,0,0.5,2,1,0,0,4,30,78,2,12,1,4,11,15,0,8,30,9,18,900,9,4,18,702,702,2,12,3,3,0,1,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
29.,49,144,97,2,7,4,5,7,2,11,0,482,144,0,0,0,0,0,0,4,0,1.5,0,1,0,0,4,31,77,5,11,1,4,10,14,0,3,30,7,7,906,9,8,7,696,696,2,10,4,4,0,3,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
