# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_sTheta16.ka' '-l' '5000' '-p' '1' '-o' 'sTheta16_1.out' -seed 657480444
# "uuid" : "1002115798"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,8,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,1,1,2,1,2
1.,50,146,98,1,4,2,2,6,2,6,0,488,146,0,0,0,0,0,1,3,0,1,2,1,0,0,5,19,89,3,9,0,5,8,13,0,6,30,2,12,885,7,5,12,494,494,0,14,3,3,0,3,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
2.,50,146,97,1,3,5,3,6,1,8,0,486,146,0,0,0,0,0,1,2,1,0.5,4,0,0,0,5,19,89,1,11,0,5,7,12,0,6,30,1,6,890,7,4,6,476,476,1,14,7,7,0,6,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
3.,49,147,99,3,3,2,1,3,0,5,0,492,147,0,0,0,0,0,2,1,0,1.5,2,0,0,0,5,16,92,2,10,0,5,8,13,0,5,30,7,6,892,8,8,5,471,471,1,14,11,11,0,11,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
4.,50,142,96,2,10,5,2,9,3,15,0,476,142,0,0,0,0,0,1,2,0,0.5,3,0,0,0,4,19,89,2,10,2,4,8,12,1,3,30,1,6,890,8,5,6,481,481,0,7,7,7,0,7,547,653,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
5.,49,143,96,4,9,7,1,6,1,16,0,478,143,0,0,0,0,0,1,6,0,2,4,0,0,0,8,16,92,2,10,2,8,10,18,0,3,30,0,9,890,8,1,9,470,470,2,18,4,4,0,4,547,653,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
6.,49,145,97,2,8,5,2,3,1,13,0,484,145,0,0,0,0,0,1.5,2,0,1.5,2,0,0,0,5,19,89,2,10,2,5,8,13,0,8,30,0,7,890,7,6,7,477,477,0,11,3,3,0,3,547,653,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
7.,49,147,95,2,5,8,1,3,2,13,0,484,147,0,0,0,0,0,0.5,4,0,0.5,3,1,0,0,5,20,88,2,10,1,5,10,15,0,3,30,1,10,889,7,7,10,476,476,0,13,2,2,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
8.,49,142,97,3,12,4,2,6,2,16,0,478,142,0,0,0,0,0,0,2,0,0.5,1,0,0,0,2,20,88,3,9,1,2,9,11,0,2,30,2,9,889,7,3,9,467,467,0,14,3,3,0,3,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
9.,50,148,96,1,2,4,0,6,4,6,0,488,148,0,0,0,0,0,0.5,2,0,1,1,0,0,0,3,22,86,2,10,2,3,8,11,0,8,30,2,10,885,7,8,10,463,463,1,18,3,3,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
