# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_weakLTP16.ka' '-l' '5000' '-p' '1' '-o' 'weakLTP16_2.out' -seed 311421603
# "uuid" : "33098982"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
15.,48,148,96,4,4,4,0,4,4,8,0,488,148,0,0,0,0,0,2.5,2,14,4,3,10,0.5,0,20,9,99,4,4,400,21,4,25,0,6,30,2,18,178,0,21,17,481,481,0,13,4,4,0,4,686,514,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
16.,48,147,97,3,6,4,2,2,2,10,0,488,147,0,0,0,0,0,4,2,4,4.5,1,4,0,0,14,13,95,1,7,400,14,5,19,0,3,30,2,3,180,0,21,3,481,481,0,16,5,5,0,3,682,518,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
17.,49,147,96,0,6,5,4,3,3,11,0,486,147,0,0,0,0,0,5,2,11,6,2,9,0.5,0,22,11,97,1,7,400,23,9,32,0,3,30,2,14,177,0,24,13,486,486,1,13,4,4,0,4,684,516,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
18.,49,147,99,0,5,0,5,3,2,5,0,492,147,0,0,0,0,0,2.5,1,8,3.5,2,5,0,0,14,10,98,2,6,400,14,7,21,0,0,30,2,13,176,0,29,13,504,504,0,14,4,4,0,3,680,520,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
19.,49,149,96,0,4,5,2,1,3,9,0,490,149,0,0,0,0,0,2.5,0,12,4.5,3,5,0,0,17,9,99,0,8,400,17,7,24,0,5,30,1,10,175,0,26,10,501,501,2,17,3,3,0,2,680,520,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
20.,49,147,94,1,5,10,3,3,2,15,0,482,147,0,0,0,0,0,3,0,8,5,1,3,0,0,14,13,95,1,7,400,14,4,18,1,6,30,2,14,173,0,18,14,491,491,1,13,4,4,0,4,673,527,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
21.,49,145,98,4,4,3,2,7,1,7,0,486,145,0,0,0,0,0,3,1,10,2.5,2,10,0,0,17,13,95,0,8,400,17,6,23,0,6,30,0,15,169,0,22,15,494,494,1,14,3,3,0,3,673,527,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
22.,48,148,96,1,4,6,6,2,2,10,0,488,148,0,0,0,0,0,2,0,16,3.5,3,10,0.5,0,19,14,94,1,7,400,20,5,25,0,4,30,2,12,168,0,24,12,494,494,0,16,1,1,0,1,669,531,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
23.,48,146,96,2,9,6,3,1,2,15,0,484,146,0,0,0,0,0,1.5,0,13,3,1,9,0.5,0,15,15,93,1,7,400,16,6,22,0,3,30,1,10,162,0,30,10,512,512,0,15,3,3,0,3,669,531,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
24.,49,147,94,0,5,9,5,4,3,14,0,482,147,0,0,0,0,0,3,0,7,2,1,8,0,0,13,14,94,0,8,400,13,9,22,0,3,30,0,7,162,0,20,7,493,493,0,14,3,3,0,3,665,535,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
25.,49,145,98,1,9,2,3,3,2,11,0,486,145,0,0,0,0,0,3.5,0,5,1.5,0,9,0,0,12,12,96,1,7,400,12,5,17,0,6,30,3,9,159,0,24,9,510,510,1,10,5,5,0,4,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
26.,50,149,97,0,1,4,1,3,2,5,0,492,149,0,0,0,0,0,1.5,0,5,2,2,2,0,0,8,11,97,2,6,400,8,4,12,0,5,30,1,12,157,0,18,11,500,500,0,12,2,2,0,2,662,538,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
27.,47,148,96,3,6,2,4,4,6,8,0,488,148,0,0,0,0,0,3.5,0,5,4,1,3,0,0,12,12,96,0,8,400,12,4,16,0,7,30,0,12,153,0,22,12,516,516,1,13,2,2,0,2,654,546,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
28.,46,151,96,4,3,3,3,0,5,6,0,494,151,0,0,0,0,0,1.5,3,8,2,1,9,0,0,14,12,96,0,8,400,14,3,17,0,6,30,0,6,152,0,18,6,532,532,1,13,1,1,0,1,655,545,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
29.,47,148,94,3,6,8,4,2,4,14,0,484,148,0,0,0,0,0,2.5,0,8,2.5,0,8,0,0,13,10,98,1,7,400,13,5,18,0,8,30,0,10,151,0,19,10,524,524,0,16,2,2,0,1,662,538,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
30.,48,149,95,0,7,3,3,2,7,10,0,488,149,0,0,0,0,0,1.5,1,10,2.5,1,8,0,0,14,9,99,2,6,400,14,7,21,1,3,30,3,8,152,0,17,8,511,511,2,15,0,0,0,0,665,535,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
31.,46,149,97,4,3,1,7,4,5,4,0,492,149,0,0,0,0,0,4,2,6,3,0,10,0,0,16,8,100,2,6,400,16,9,25,0,6,30,2,13,150,0,31,12,507,507,0,9,1,1,0,1,667,533,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
32.,48,148,95,3,5,5,1,4,5,10,0,486,148,0,0,0,0,0,3,0,9,2,2,9,0,0,15,9,99,2,6,400,15,6,21,0,8,30,1,13,149,0,35,13,512,512,1,16,4,4,0,2,667,533,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
33.,48,147,97,2,6,4,4,2,2,10,0,488,147,0,0,0,0,0,2.5,0,12,3.5,1,9,0,0,17,10,98,1,7,400,17,8,25,0,5,30,2,6,145,0,27,6,490,490,0,12,3,3,0,3,667,533,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
34.,49,146,97,2,5,2,3,7,4,7,0,486,146,0,0,0,0,0,2,0,5,2,0,5,0,0,9,10,98,0,8,400,9,6,15,0,9,30,0,4,141,0,31,4,493,493,0,13,4,4,0,4,666,534,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
35.,47,149,96,4,3,5,3,2,3,8,0,490,149,0,0,0,0,0,1.5,1,10,3.5,0,7,0,0,14,9,99,1,7,400,14,8,22,0,7,30,1,5,137,0,31,4,478,478,1,7,4,4,0,4,662,538,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
36.,48,148,98,2,6,2,2,0,2,8,0,492,148,0,0,0,0,0,2,2,10,1.5,1,12,0,0,16,7,101,0,8,400,16,9,25,0,5,30,1,6,133,0,37,6,473,473,1,16,3,3,0,3,658,542,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
37.,47,148,95,5,2,6,4,6,4,8,0,486,148,0,0,0,0,0,3,0,10,1,1,13,0,0,16,6,102,2,6,400,16,7,23,1,7,30,2,10,132,0,28,10,472,472,0,15,3,3,0,3,660,540,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
38.,47,147,97,2,9,3,5,0,3,12,0,488,147,0,0,0,0,0,2.5,0,11,3,0,10,0,0,16,6,102,0,8,400,16,6,22,0,5,30,0,6,130,0,36,6,467,467,0,16,1,1,0,1,659,541,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
39.,47,146,97,5,8,5,2,1,1,13,0,486,146,0,0,0,0,0,2,0,10,3,0,8,0,0,14,8,100,4,4,400,14,7,21,0,2,30,1,12,124,0,32,12,463,463,1,14,1,1,0,1,667,533,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
40.,48,147,95,5,3,6,1,7,4,9,0,484,147,0,0,0,0,0,3,0,10,1,1,13,0,0,16,11,97,0,8,400,16,5,21,0,3,30,2,6,122,0,37,6,448,448,1,12,0,0,0,0,658,542,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
41.,48,146,96,3,7,4,3,5,4,11,0,484,146,0,0,0,0,0,2,0,8,0.5,2,9,0,0,12,12,96,0,8,400,12,5,17,0,4,30,2,10,118,0,31,10,461,461,0,15,1,1,0,1,662,538,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
42.,48,146,97,2,6,2,6,6,4,8,0,486,146,0,0,0,0,0,2,1,11,2.5,0,11,0,0,16,12,96,1,7,400,16,5,21,0,6,30,2,9,116,0,27,9,459,459,0,18,2,2,0,2,653,547,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
43.,47,147,97,1,7,3,9,2,3,10,0,488,147,0,0,0,0,0,2,0,13,3,0,11,0,0,17,11,97,2,6,400,17,6,23,0,5,30,4,3,115,0,29,3,460,460,1,15,1,1,0,1,659,541,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
44.,48,151,94,1,3,5,1,2,7,8,0,490,151,0,0,0,0,0,1,3,12,3.5,1,9,0,0,17,11,97,1,6,400,17,7,24,1,4,30,0,8,112,0,28,8,468,468,2,15,3,3,0,2,655,545,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
45.,49,148,95,1,5,5,1,4,5,10,0,486,148,0,0,0,0,0,2,1,7,1,0,10,0,0,12,8,100,1,5,400,12,6,18,0,3,30,2,5,107,0,23,5,470,470,1,13,1,1,0,1,654,546,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
46.,48,148,95,1,8,6,2,0,4,14,0,486,148,0,0,0,0,0,2,0,9,2,1,8,0,0,13,7,101,0,6,400,13,6,19,0,3,30,1,7,103,0,35,7,463,463,0,8,4,4,0,3,654,546,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
47.,48,148,96,1,5,4,5,3,4,9,0,488,148,0,0,0,0,0,2.5,0,10,2,0,11,0,0,15,8,100,2,4,400,15,6,21,2,4,30,1,8,101,0,30,8,465,465,0,14,3,3,0,3,651,549,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
48.,46,146,97,7,7,4,3,3,2,11,0,486,146,0,0,0,0,0,0.5,1,13,2.5,0,10,0,0,15,11,97,2,4,400,15,5,20,0,2,30,0,14,100,0,29,14,469,469,0,11,3,3,0,3,651,549,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
49.,48,146,98,2,7,2,5,3,2,9,0,488,146,0,0,0,0,0,1,0,15,2.5,1,11,0,0,17,11,97,1,5,400,17,9,26,0,5,30,1,11,98,0,31,11,469,469,0,12,2,2,0,2,646,554,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
50.,50,145,97,1,8,5,0,3,1,13,0,484,145,0,0,0,0,0,2,0,9,1.5,0,10,0,0,13,11,97,0,6,400,13,8,21,0,1,30,2,4,99,0,37,4,455,455,0,16,2,2,0,2,650,550,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
51.,49,143,96,3,9,7,3,6,1,16,0,478,143,0,0,0,0,0,2,1,6,3,0,5,0,0,11,12,96,1,5,400,11,4,15,0,7,30,0,10,100,0,28,10,471,471,1,11,4,4,0,3,633,567,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
52.,48,147,95,5,4,6,0,6,4,10,0,484,147,0,0,0,0,0,1.5,0,4,0,1,6,0,0,7,11,97,0,6,400,7,9,16,0,4,30,2,16,98,0,22,16,481,481,0,12,2,2,0,2,633,567,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
