# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_Delta16.ka' '-l' '5000' '-p' '1' '-o' 'Delta16_2.out' -seed 1033227901
# "uuid" : "667674758"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
15.,49,146,98,3,3,3,3,6,1,6,0,488,146,0,0,0,0,0,2.5,1,9,3,0,9,0,0,15,16,92,1,7,400,15,7,22,1,3,30,0,12,187,1,24,12,519,519,0,11,4,4,0,2,659,541,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
16.,50,147,97,0,4,5,2,3,1,9,0,488,147,0,0,0,0,0,4,1,10,3,2,11,0,0,19,15,93,0,8,400,19,5,24,1,5,30,0,16,183,1,25,15,526,526,0,13,3,3,0,3,660,540,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
17.,50,146,93,1,5,13,1,4,1,18,0,478,146,0,0,0,0,0,3.5,0,10,3,0,11,0,0,17,17,91,1,7,400,17,3,20,0,4,30,1,12,177,0,23,12,511,511,2,13,2,2,0,2,656,544,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
18.,49,146,96,2,7,7,1,2,1,14,0,484,146,0,0,0,0,0,3.5,1,6,3,1,7,0,0,14,15,93,2,6,400,14,6,20,0,5,30,1,13,174,0,26,12,506,506,0,18,1,1,0,1,648,552,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
19.,50,144,98,2,7,3,1,6,1,10,0,484,144,0,0,0,0,0,0.5,1,6,1,2,4,0,0,8,17,91,1,6,400,8,4,12,0,2,30,1,12,172,0,26,12,497,497,0,10,1,1,0,1,648,552,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
20.,51,144,98,1,6,3,0,7,1,9,0,484,144,0,0,0,0,0,2.5,0,5,2.5,2,3,0,0,10,14,94,1,7,400,10,6,16,0,2,30,2,5,166,0,26,5,492,492,2,14,2,2,0,2,647,553,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
21.,51,145,99,0,5,2,1,5,0,7,0,488,145,0,0,0,0,0,2,0,8,3.5,0,5,0,0,12,13,95,0,8,400,12,5,17,1,9,30,0,13,164,0,27,13,496,496,1,14,1,1,0,1,646,554,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
22.,47,144,98,7,7,3,3,6,1,10,0,484,144,0,0,0,0,0,3,1,8,3,1,8,0,0,15,12,96,4,4,400,15,4,19,0,5,30,1,7,164,0,29,7,497,497,1,14,2,2,0,2,646,554,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
23.,48,148,94,3,6,9,0,1,3,15,0,484,148,0,0,0,0,0,2.5,0,9,3,0,8,0,0,14,12,96,0,8,400,14,4,18,0,6,30,1,9,163,0,31,9,500,500,0,20,2,2,0,2,646,554,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
24.,47,149,98,4,3,2,3,1,2,5,0,494,149,0,0,0,0,0,2.5,0,7,3.5,1,4,0,0,12,10,98,2,6,400,12,3,15,0,5,30,0,4,157,0,25,4,483,483,0,15,0,0,0,0,642,558,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
