# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_Theta16.ka' '-l' '5000' '-p' '1' '-o' 'Theta16_1.out' -seed 114231022
# "uuid" : "889241218"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
15.,48,145,98,4,7,4,3,3,0,11,0,486,145,0,0,0,0,0,2.5,1,5,2,0,7,0,0,11,10,98,0,8,400,11,9,20,0,5,30,2,10,165,0,22,10,484,484,1,13,1,1,0,1,669,531,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,1,1,1
16.,48,147,94,2,7,8,3,3,4,15,0,482,147,0,0,0,0,0,2,0,6,1.5,0,7,0,0,10,11,97,1,7,400,10,4,14,0,2,30,4,11,165,0,31,11,488,488,0,10,1,1,0,1,665,535,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
17.,48,146,96,3,7,6,3,3,2,13,0,484,146,0,0,0,0,0,2,0,14,2,2,12,0,0,18,11,97,1,7,400,18,4,22,0,3,30,3,8,165,0,26,8,491,491,0,14,2,2,0,2,660,540,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
18.,48,145,96,3,10,4,2,4,4,14,0,482,145,0,0,0,0,0,3.5,0,8,3.5,0,8,0,0,15,11,97,2,6,400,15,7,22,0,4,30,2,4,160,0,21,4,481,481,0,13,2,2,0,2,660,540,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
19.,49,145,96,1,9,6,3,3,2,15,0,482,145,0,0,0,0,0,1,1,13,3,0,10,0,0,16,11,97,2,6,400,16,3,19,0,9,30,3,8,159,0,24,7,490,490,1,12,4,4,0,4,646,554,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
20.,47,146,96,2,10,4,6,2,4,14,0,484,146,0,0,0,0,0,1.5,0,11,2,2,8,0,0,14,10,98,2,6,400,14,4,18,0,5,30,2,9,155,0,22,9,482,482,1,12,2,2,0,2,646,554,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
21.,47,149,97,3,3,1,5,4,5,4,0,492,149,0,0,0,0,0,3.5,1,8,4,0,8,0,0,16,10,98,2,6,400,16,2,18,0,3,30,2,14,152,0,31,14,485,485,0,17,1,1,0,1,650,550,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
22.,49,147,98,1,4,1,4,5,3,5,0,490,147,0,0,0,0,0,2,0,6,2.5,1,4,0,0,10,9,99,3,5,400,10,4,14,0,3,30,3,13,149,0,32,13,479,479,3,13,2,2,0,2,642,558,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
23.,49,148,99,1,4,0,2,2,2,4,0,494,148,0,0,0,0,0,2.5,0,5,2,0,6,0,0,10,11,97,1,7,400,10,3,13,0,5,30,1,10,146,0,34,10,481,481,0,12,3,3,0,2,642,558,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
24.,48,146,96,3,7,5,3,4,3,12,0,484,146,0,0,0,0,0,1,0,8,0,1,9,0,0,10,14,94,1,7,400,10,6,16,0,2,30,0,7,140,0,30,7,487,487,0,19,4,4,0,4,638,562,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
25.,48,146,97,2,9,3,3,2,3,12,0,486,146,0,0,0,0,0,2,0,12,2.5,1,10,0,0,16,12,96,2,6,400,16,7,23,0,6,30,1,3,135,0,24,3,489,489,0,13,5,5,0,3,640,560,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
26.,48,148,96,3,4,6,2,2,2,10,0,488,148,0,0,0,0,0,1,0,10,2.5,1,6,0.5,0,11,15,93,0,8,400,12,3,15,1,3,30,0,5,133,0,18,4,489,489,0,14,3,3,0,3,631,569,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
27.,49,143,97,2,13,4,1,3,2,17,0,480,143,0,0,0,0,0,2,0,5,1,1,6,0,0,9,14,94,3,5,400,9,5,14,1,4,30,1,9,132,0,22,9,487,487,0,14,6,6,0,5,638,562,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
28.,48,148,96,2,4,6,4,2,2,10,0,488,148,0,0,0,0,0,1,1,7,1.5,0,7,0,0,10,14,94,0,8,400,10,9,19,0,6,30,1,9,130,0,22,9,492,492,0,15,5,5,0,4,634,566,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
29.,49,147,96,3,3,7,1,4,1,10,0,486,147,0,0,0,0,0,1.5,0,3,1.5,0,3,0,0,6,14,94,1,7,400,6,2,8,1,1,30,2,12,128,0,29,12,494,494,0,19,1,1,0,1,633,567,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
30.,50,146,97,0,6,5,2,3,1,11,0,486,146,0,0,0,0,0,1,1,9,1,1,9,0,0,12,16,92,3,5,400,12,7,19,0,4,30,1,5,128,0,25,5,506,506,1,12,2,2,0,2,629,571,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
