# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_sTheta16.ka' '-l' '5000' '-p' '1' '-o' 'sTheta16_4.out' -seed 958052470
# "uuid" : "552750566"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
15.,47,145,97,5,6,5,6,5,1,11,0,484,145,0,0,0,0,0,4,2,4,3.5,0,7,0,0,14,18,90,2,6,400,14,6,20,0,5,30,1,9,199,0,23,9,526,526,4,16,4,4,0,4,655,545,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
16.,49,145,98,3,8,3,0,3,1,11,0,486,145,0,0,0,0,0,3,2,3,2.5,2,4,0.5,0,10,18,90,2,6,400,11,6,17,0,2,30,5,11,195,0,21,11,521,521,2,16,3,3,0,2,663,537,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
17.,50,145,99,1,6,1,2,5,1,7,0,488,145,0,0,0,0,0,3,0,4,2,0,6,0,0,10,17,91,1,6,400,10,11,21,1,1,30,3,10,191,0,14,10,521,521,0,15,3,3,0,2,667,533,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
18.,50,146,96,1,3,6,3,7,2,9,0,484,146,0,0,0,0,0,2,0,5,2,1,4,0,0,9,15,93,3,5,400,9,9,18,0,3,30,5,6,189,0,12,5,508,508,1,12,4,4,0,3,667,533,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
19.,50,143,98,1,9,3,3,6,1,12,0,482,143,0,0,0,0,0,2.5,1,6,3,2,4,0,0,12,19,89,1,7,400,12,5,17,1,6,30,0,8,188,0,10,7,525,525,0,13,1,1,0,0,664,536,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
20.,49,145,97,3,6,6,2,4,0,12,0,484,145,0,0,0,0,0,2.5,1,10,4.5,0,7,0,0,16,22,86,0,8,400,16,4,20,0,7,30,4,10,187,0,11,10,538,538,0,10,3,3,0,3,656,544,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
21.,50,147,97,2,1,4,1,7,2,5,0,488,147,0,0,0,0,0,2.5,1,6,2,0,8,0,0,12,20,88,0,8,400,12,11,23,0,4,30,1,13,186,0,12,12,539,539,1,10,5,5,0,4,660,540,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
22.,50,144,93,0,8,13,4,5,1,21,0,474,144,0,0,0,0,0,5,1,6,5,2,5,0,0,17,21,87,2,6,400,17,4,21,0,6,30,1,7,183,0,17,7,539,539,0,14,3,3,0,3,664,536,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
23.,48,147,97,4,3,3,3,6,3,6,0,488,147,0,0,0,0,0,3.5,0,4,3,1,4,0,0,11,20,88,0,8,400,11,10,21,0,2,30,1,9,182,0,16,9,515,515,2,13,5,5,0,5,665,535,0,499,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
24.,48,147,96,2,5,5,5,4,3,10,0,486,147,0,0,0,0,0,1.5,0,8,3.5,1,3,0,0,11,16,92,1,7,400,11,7,18,0,7,30,1,12,181,0,28,12,507,507,1,14,5,5,0,4,669,531,0,498,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
25.,47,145,97,4,9,4,5,3,2,13,0,484,145,0,0,0,0,0,3.5,0,4,2,0,7,0,0,11,15,93,3,5,400,11,5,16,0,3,30,1,10,178,0,22,10,508,508,1,25,1,1,0,0,668,532,0,499,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
26.,48,146,95,3,8,5,2,5,5,13,0,482,146,0,0,0,0,0,4,0,8,3.5,2,7,0,0,16,12,96,0,8,400,16,6,22,0,2,30,2,7,176,0,22,7,500,500,1,14,3,3,0,2,669,531,0,499,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
27.,48,147,97,1,6,5,6,1,1,11,0,488,147,0,0,0,0,0,3.5,1,10,4,3,7,0,0,18,12,96,3,5,400,18,3,21,0,3,30,1,10,177,0,22,10,486,486,0,13,4,4,0,4,669,531,0,499,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
28.,49,147,96,2,4,6,2,4,2,10,0,486,147,0,0,0,0,0,1,2,7,3.5,1,3,0,0,11,16,92,2,6,400,11,8,19,0,2,30,5,9,173,0,19,9,492,492,1,14,7,7,0,7,666,534,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
29.,51,144,98,1,5,3,1,8,1,8,0,484,144,0,0,0,0,0,2.5,1,10,5.5,2,3,0,0,16,18,90,1,7,400,16,6,22,0,3,30,3,9,169,0,21,9,499,499,0,16,5,5,0,4,668,532,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
30.,49,147,96,2,4,7,2,3,1,11,0,486,147,0,0,0,0,0,3.5,0,5,2.5,2,5,0,0,12,17,91,0,8,400,12,7,19,0,8,30,2,11,165,0,21,11,499,499,0,13,4,4,0,3,670,530,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
31.,48,146,96,4,7,5,1,4,3,12,0,484,146,0,0,0,0,0,1.5,1,10,2.5,1,8,0,0,14,20,88,3,5,400,14,7,21,0,1,30,2,12,164,0,15,12,512,512,0,16,2,2,0,2,670,530,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
32.,50,145,98,2,5,2,1,7,2,7,0,486,145,0,0,0,0,0,3.5,0,9,5,0,6,0,0,16,22,86,2,5,400,16,10,26,0,5,30,1,9,161,0,26,9,521,521,0,12,6,6,0,6,678,522,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
33.,49,146,98,2,6,3,2,3,1,9,0,488,146,0,0,0,0,0,2,1,9,1,1,11,0,0,14,19,89,2,6,400,14,6,20,0,7,30,2,10,162,0,14,10,524,524,0,12,3,3,0,3,668,532,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
34.,49,145,96,2,8,7,2,3,1,15,0,482,145,0,0,0,0,0,2,0,7,3,0,5,0,0,11,18,90,1,7,400,11,6,17,1,7,30,0,11,158,0,19,11,523,523,0,13,5,5,0,3,668,532,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
35.,48,147,99,2,7,1,3,0,1,8,0,492,147,0,0,0,0,0,1,1,7,1,2,6,0,0,10,16,92,3,5,400,10,4,14,0,3,30,2,13,156,0,22,13,525,525,1,13,4,4,0,2,668,532,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
36.,48,148,97,2,4,5,4,1,1,9,0,490,148,0,0,0,0,0,2,0,11,4,0,7,0,0,15,17,91,0,8,400,15,8,23,2,5,30,3,10,154,0,17,10,542,542,0,14,2,2,0,1,669,531,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
37.,49,147,96,1,7,5,1,2,3,12,0,486,147,0,0,0,0,0,2,0,8,2.5,1,6,0,0,12,20,88,1,7,400,12,11,23,1,7,30,1,12,154,0,21,12,523,523,2,18,3,3,0,1,665,535,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
38.,47,149,97,4,4,2,2,2,4,6,0,492,149,0,0,0,0,0,2,0,6,2.5,1,4,0,0,10,22,86,2,6,400,10,9,19,0,3,30,1,8,151,0,23,8,536,536,0,13,4,4,0,3,657,543,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,25,25,1,1,2,1,2
