# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_HFS16.ka' '-l' '5000' '-p' '1' '-o' 'HFS16_3.out' -seed 540658810
# "uuid" : "217619254"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,2,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
1.,49,148,98,2,2,2,2,4,2,4,0,492,148,0,0,0,0,0,4,1,3,3,0,6,0,0,12,9,99,3,6,400,12,7,19,33,100,30,10,773,575,0,22,773,1568,1568,1,14,39,39,0,30,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
2.,49,148,97,0,2,6,6,2,0,8,0,490,148,0,0,0,0,0,4.5,3,5,3,0,11,0,0,17,11,97,4,10,400,17,2,19,25,121,30,13,777,794,2,22,775,1574,1574,0,20,40,40,0,36,662,538,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
3.,48,148,98,3,4,2,2,2,2,6,0,492,148,0,0,0,0,0,5,4,6,4,1,11,0,0,20,17,91,5,11,400,20,5,25,31,166,30,13,764,918,2,12,764,1568,1568,0,13,39,39,0,32,662,538,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
4.,49,149,96,0,4,5,2,1,3,9,0,490,149,0,0,0,0,0,2.5,3,5,1.5,2,8,0,0,13,19,89,12,10,400,13,5,18,25,156,30,12,771,1045,2,12,771,1574,1574,1,18,38,38,0,32,661,539,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
5.,49,147,97,0,6,3,4,3,3,9,0,488,147,0,0,0,0,0,4,4,1,2.5,1,7,0,0,13,29,79,11,14,400,13,8,21,7,20,30,17,110,1084,2,10,110,1479,1479,1,13,33,33,0,30,661,539,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
6.,47,147,97,5,6,4,2,2,2,10,0,488,147,0,0,0,0,0,4,8,0,4,1,7,0.5,0,15,45,63,21,14,400,16,5,21,2,11,30,13,55,1089,2,2,55,1367,1367,3,14,30,30,0,22,657,543,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
7.,48,148,96,3,4,7,2,1,1,11,0,488,148,0,0,0,0,0,4,3,4,4.5,3,3,1,0,13,47,61,18,14,400,15,5,20,1,5,30,22,42,1103,3,4,42,1275,1275,1,13,20,20,0,18,657,543,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
8.,48,144,96,3,9,5,5,6,3,14,0,480,144,0,0,0,0,0,5,2,1,2,5,4,0,0,13,52,56,25,13,400,13,3,16,1,4,30,6,27,1108,4,2,27,1183,1183,1,13,20,20,0,17,657,543,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
9.,49,145,95,2,7,7,3,6,3,14,0,480,145,0,0,0,0,0,2,8,5,3,7,4,0,0,17,59,49,20,14,400,17,4,21,0,8,30,10,20,1117,4,0,20,1088,1088,0,16,13,13,0,10,663,537,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
