# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_sTheta16.ka' '-l' '5000' '-p' '1' '-o' 'sTheta16_2.out' -seed 529935236
# "uuid" : "901274734"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,2,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,1,1,2,1,2
1.,48,147,95,1,6,7,6,3,3,13,0,484,147,0,0,0,0,0,2.5,1,5,2.5,1,5,0,0,11,8,100,0,8,400,11,6,17,0,8,30,0,16,221,0,22,16,543,543,0,14,3,3,0,3,666,534,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
2.,50,145,96,0,7,6,3,5,2,13,0,482,145,0,0,0,0,0,2.5,3,2,2.5,3,2,0,0,10,10,98,1,7,400,10,6,16,0,7,30,0,6,218,0,20,6,527,527,0,20,2,2,0,2,669,531,0,499,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
3.,48,145,96,2,8,4,6,6,4,12,0,482,145,0,0,0,0,0,4,0,4,4.5,1,2,0,0,12,10,98,1,7,400,12,6,18,0,5,30,0,8,213,0,21,7,514,514,1,11,1,1,0,1,673,527,0,499,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
4.,47,148,97,2,5,4,7,1,2,9,0,490,148,0,0,0,0,0,3,3,5,3,1,7,0,0,14,9,99,0,8,400,14,8,22,0,6,30,2,8,211,0,20,8,502,502,0,15,2,2,0,2,673,527,0,499,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
5.,47,149,96,4,4,4,2,2,4,8,0,490,149,0,0,0,0,0,3.5,2,5,2,1,9,0,0,14,11,97,1,7,400,14,4,18,0,2,30,1,6,209,0,20,6,496,496,1,14,5,5,0,3,665,535,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
6.,48,146,96,2,7,5,5,4,3,12,0,484,146,0,0,0,0,0,3.5,3,5,3,2,7,0,0,15,10,98,1,7,400,15,5,20,1,2,30,1,10,207,0,14,10,491,491,0,16,5,5,0,5,667,533,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
7.,49,147,96,1,5,7,3,2,1,12,0,486,147,0,0,0,0,0,2,3,5,1,0,10,0,0,12,10,98,1,7,400,12,5,17,1,4,30,0,10,204,0,21,9,484,484,2,17,1,1,0,1,666,534,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
8.,50,148,98,1,2,3,0,3,1,5,0,492,148,0,0,0,0,0,3.5,4,3,4,0,6,0,0,14,8,100,0,8,400,14,8,22,0,2,30,4,3,201,0,21,3,491,491,2,12,6,6,0,5,675,525,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
9.,48,146,96,2,10,4,2,2,4,14,0,484,146,0,0,0,0,0,2.5,3,4,1,0,10,0,0,12,9,99,1,7,400,12,7,19,1,6,30,2,11,199,0,16,11,476,476,0,15,5,5,0,5,676,524,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
10.,48,148,97,2,6,4,2,0,2,10,0,490,148,0,0,0,0,0,0.5,3,4,2,0,4,0,0,8,10,98,2,6,400,8,6,14,0,10,30,4,7,195,0,21,7,478,478,0,11,5,5,0,4,663,537,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
11.,49,146,96,1,8,6,2,2,2,14,0,484,146,0,0,0,0,0,2.5,1,6,4,1,3,0,0,12,13,95,1,7,400,12,6,18,0,8,30,3,6,193,0,24,6,473,473,0,13,7,7,0,5,659,541,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
12.,50,145,96,1,7,6,1,5,2,13,0,482,145,0,0,0,0,0,1.5,3,7,1.5,0,10,0,0,13,17,91,2,6,400,13,6,19,0,5,30,1,9,191,0,15,9,482,482,1,11,3,3,0,3,655,545,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
13.,49,145,95,1,10,7,2,3,3,17,0,480,145,0,0,0,0,0,3,3,5,2,1,9,0,0,14,16,92,1,7,400,14,9,23,0,2,30,6,17,191,0,27,17,491,491,0,16,2,2,0,2,659,541,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
14.,48,146,98,3,8,3,2,1,1,11,0,488,146,0,0,0,0,0,2.5,3,6,4,1,5,0,0,14,14,94,0,8,400,14,7,21,0,4,30,5,9,190,0,17,8,498,498,0,15,1,1,0,1,655,545,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
15.,51,144,99,0,4,2,4,8,0,6,0,486,144,0,0,0,0,0,1.5,3,7,3,0,7,0,0,13,14,94,0,8,400,13,8,21,0,2,30,4,10,184,0,22,9,506,506,1,20,4,4,0,4,655,545,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
16.,50,147,98,1,2,3,2,5,1,5,0,490,147,0,0,0,0,0,3,1,5,2.5,0,7,0,0,12,14,94,3,5,400,12,8,20,0,5,30,2,10,176,0,27,10,513,513,1,19,5,5,0,5,652,548,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
17.,48,146,96,1,9,6,5,1,2,15,0,484,146,0,0,0,0,0,3.5,2,3,0.5,2,9,0,0,12,13,95,3,5,400,12,5,17,0,4,30,3,6,175,0,25,6,506,506,1,7,6,6,0,6,660,540,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
18.,47,152,96,2,0,2,4,2,6,2,0,496,152,0,0,0,0,0,3,0,8,3.5,0,7,0,0,14,13,95,1,7,400,14,2,16,0,3,30,1,13,172,0,23,12,490,490,0,11,3,3,0,3,653,547,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
19.,47,148,95,3,7,3,3,4,7,10,0,486,148,0,0,0,0,0,5,0,5,5,0,5,0,0,15,12,96,1,7,400,15,6,21,0,3,30,1,5,173,0,25,5,488,488,0,15,2,2,0,2,657,543,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
20.,46,150,95,3,3,5,7,2,5,8,0,490,150,0,0,0,0,0,2.5,1,7,2,0,9,0,0,13,11,97,3,5,400,13,7,20,0,7,30,1,8,169,0,25,8,485,485,0,17,1,1,0,0,654,546,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
21.,48,146,96,3,9,4,1,3,4,13,0,484,146,0,0,0,0,0,3,2,4,2,1,7,0,0,12,14,94,0,8,400,12,5,17,0,6,30,0,5,167,0,24,5,501,501,0,16,4,4,0,3,650,550,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
22.,48,149,96,2,5,4,1,1,4,9,0,490,149,0,0,0,0,0,1.5,1,6,1.5,1,6,0,0,10,12,96,2,6,400,10,3,13,0,3,30,1,6,163,0,30,4,497,497,0,13,1,1,0,1,650,550,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
23.,47,150,95,2,3,5,5,2,5,8,0,490,150,0,0,0,0,0,3,2,3,1.5,3,5,0,0,11,13,95,1,7,400,11,7,18,1,5,30,1,14,162,0,25,14,498,498,0,16,1,1,0,1,650,550,0,498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
24.,49,149,98,1,2,1,2,3,3,3,0,494,149,0,0,0,0,0,3.5,1,5,3.5,0,6,0,0,13,13,95,0,8,400,13,3,16,0,3,30,1,4,160,0,26,4,484,484,1,15,2,2,0,2,644,556,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
25.,49,146,97,2,5,4,3,5,2,9,0,486,146,0,0,0,0,0,3,2,7,3.5,1,7,0,0,15,14,94,1,7,400,15,3,18,1,3,30,2,10,159,0,19,10,482,482,1,14,6,6,0,4,640,560,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
26.,50,146,99,0,5,1,3,4,1,6,0,490,146,0,0,0,0,0,2.5,1,7,2,1,8,0,0,13,17,91,2,6,400,13,7,20,0,5,30,4,7,158,0,21,7,469,469,0,18,5,5,0,5,639,561,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
27.,48,146,98,3,7,2,3,3,2,9,0,488,146,0,0,0,0,0,1.5,0,9,4,0,4,0,0,12,17,91,2,6,400,12,3,15,0,5,30,5,11,157,0,26,10,464,464,0,16,2,2,0,1,639,561,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
28.,48,147,97,3,5,3,3,4,3,8,0,488,147,0,0,0,0,0,1,1,6,3.5,0,2,0,0,9,19,89,1,7,400,9,4,13,0,4,30,4,12,154,0,25,12,478,478,0,14,4,4,0,4,636,564,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
29.,49,149,94,1,1,9,3,4,3,10,0,486,149,0,0,0,0,0,0.5,0,9,1.5,0,7,0,0,10,17,91,2,6,400,10,4,14,0,5,30,4,11,154,0,20,11,487,487,1,15,4,4,0,3,635,565,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
30.,46,147,97,5,9,3,3,0,3,12,0,488,147,0,0,0,0,0,0.5,1,8,1.5,1,6,0,0,10,16,92,0,8,400,10,4,14,1,3,30,0,10,153,0,29,10,500,500,1,17,6,6,0,4,632,568,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
31.,49,148,96,1,4,4,2,4,4,8,0,488,148,0,0,0,0,0,1.5,2,7,1.5,1,8,0,0,12,14,94,1,7,400,12,6,18,0,5,30,0,4,150,0,24,4,494,494,2,15,2,2,0,2,636,564,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
32.,49,143,94,1,12,10,4,4,2,22,0,474,143,0,0,0,0,0,1,0,8,1,1,7,0,0,10,13,95,1,7,400,10,3,13,0,4,30,0,12,148,0,30,12,499,499,1,11,6,6,0,4,635,565,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
33.,48,144,99,4,10,1,2,3,1,11,0,486,144,0,0,0,0,0,3.5,0,7,2.5,0,9,0,0,14,17,91,1,7,400,14,5,19,0,5,30,1,10,146,0,25,10,510,510,0,15,5,5,0,3,631,569,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
34.,49,145,96,1,9,6,3,3,2,15,0,482,145,0,0,0,0,0,1,0,7,1.5,1,5,0,0,9,16,92,2,6,400,9,2,11,0,5,30,1,12,144,0,25,11,520,520,1,11,4,4,0,2,635,565,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
35.,45,150,95,7,1,6,5,3,4,7,0,490,150,0,0,0,0,0,1,0,3,1.5,0,2,0,0,5,14,94,1,7,400,5,6,11,1,4,30,2,13,143,0,26,12,525,525,1,12,4,4,0,4,627,573,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
36.,48,147,94,2,5,8,5,5,4,13,0,482,147,0,0,0,0,0,1,0,3,1,0,3,0,0,5,19,89,1,7,400,5,5,10,0,5,30,3,7,143,0,20,7,530,530,0,15,5,5,0,4,626,574,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
