# Output of 'KaSim' 'AMPA5_equal.ka' 'camkii.ka' 'pickgrip3.ka' 'Calcium_signalling.ka' 'K868.ka' 'K870.ka' 'K882.ka' 'Subunits.ka' 'Mod_Basal.ka' '-l' '5000' '-p' '1' '-o' 'equal.out' -seed 717599127
# "uuid" : "629474052"
"[T]","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","23AMPA_GRIP_endo","23AMPA_GRIP_PSD","23AMPA_PICK_endo","23AMPA_PICK_PSD","23AMPA_NSF","23AMPA_GRIP_PICK_endo","23AMPA_GRIP_PICK_PSD","23AMPA_S880","23AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23"
14.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,16,0,34,34,0,0,0,108,0,5,5,1,9,18,26,0,8,0,23,6,0,0,0,32,7,12,3,8,9,2,0,24,0,30,0,0,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
15.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,23,0,27,27,0,0,0,108,4,8,8,1,5,25,25,0,11,0,12,8,0,0,0,35,5,11,4,9,8,3,0,21,0,30,1,4,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
16.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,23,0,27,27,0,0,0,108,1,5,5,0,6,28,28,0,9,0,9,7,0,0,0,31,7,14,1,16,12,1,0,21,1,30,1,1,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
17.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,24,0,26,26,0,0,0,108,2,10,10,3,10,24,23,0,10,0,17,8,0,0,0,34,6,10,2,13,10,2,1,16,3,30,1,2,125,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
18.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,23,0,27,27,0,0,0,108,2,6,6,0,4,30,27,0,9,0,13,5,0,0,0,32,7,14,4,10,8,3,1,18,3,30,0,2,125,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125,125
19.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,21,0,29,29,0,0,0,108,4,10,10,1,6,29,27,0,12,0,12,9,0,0,0,31,7,9,4,11,8,1,1,25,2,30,1,4,125,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125,125
20.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,22,0,28,28,0,0,0,108,4,12,12,2,2,32,30,0,15,0,14,11,0,0,0,27,7,14,3,14,10,3,1,23,1,30,0,4,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125,125
21.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,23,0,27,27,0,0,0,108,4,10,10,1,6,30,31,0,9,0,9,6,0,0,0,29,5,14,2,9,11,2,1,17,4,30,0,4,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,125,125
22.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,23,0,27,27,0,0,0,108,6,19,19,1,5,37,30,0,9,0,13,6,0,0,0,31,4,15,3,10,11,2,1,17,4,30,0,6,125,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,125,125
23.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,24,0,26,26,0,0,0,108,6,18,18,1,3,35,36,0,15,0,10,11,0,0,0,26,3,13,2,7,9,0,1,18,4,30,0,6,125,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,125,125
24.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,24,0,26,26,0,0,0,108,3,18,18,0,5,36,33,0,14,0,12,10,0,0,0,30,3,11,3,6,9,3,1,17,3,30,0,3,125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,125,125
25.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,21,0,29,29,0,0,0,108,5,12,12,1,3,36,32,0,13,0,7,11,0,0,0,27,6,16,2,7,15,1,2,26,2,30,1,5,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,125,125
26.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,21,0,29,29,0,0,0,108,11,26,26,3,6,39,28,0,8,0,7,4,0,0,0,26,9,12,5,4,6,4,1,27,6,30,0,11,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,125,125
27.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,23,0,27,27,0,0,0,108,5,14,14,3,4,39,29,0,13,0,7,10,0,0,0,24,10,13,3,5,8,3,2,22,6,30,1,5,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,125,125
28.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,25,0,25,25,0,0,0,108,6,13,13,2,4,37,31,0,19,0,10,13,0,0,0,26,7,8,2,9,5,0,1,16,4,30,1,6,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,125,125
29.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,25,0,25,25,0,0,0,108,9,23,23,3,8,38,34,0,15,0,2,10,0,0,0,21,8,6,5,8,5,5,4,19,4,30,2,9,125,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,125,125
30.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,24,0,26,26,0,0,0,108,9,22,22,2,5,39,33,0,15,0,11,10,0,0,0,20,11,8,4,8,4,3,5,14,1,30,1,9,125,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,125,125
31.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,26,0,24,24,0,0,0,108,10,23,23,2,4,39,32,0,12,0,5,10,0,0,0,21,11,13,3,7,9,2,4,15,2,30,2,10,125,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,125,125
32.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,29,0,21,21,0,0,0,108,8,23,23,1,5,39,33,0,14,0,10,10,0,0,0,20,12,9,3,9,5,3,2,17,5,30,1,8,125,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,125,125
33.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,29,0,21,21,0,0,0,108,8,20,20,4,7,40,34,0,13,0,6,10,0,0,0,20,8,11,3,10,6,2,3,17,4,30,3,8,125,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,125,125
34.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,28,0,22,22,0,0,0,108,5,18,18,2,4,39,37,0,15,0,5,9,0,0,0,20,7,10,2,7,5,1,4,14,5,30,0,5,125,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,125,125
35.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,27,0,23,23,0,0,0,108,8,21,21,1,5,38,35,0,12,0,9,10,0,0,0,26,4,12,3,11,6,2,5,15,2,30,1,8,125,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,125,125
36.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,27,0,23,23,0,0,0,108,6,28,28,1,3,36,33,0,15,0,8,11,0,0,0,27,5,8,2,9,3,2,6,15,6,30,0,6,125,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,125,125
37.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,30,0,20,20,0,0,0,108,10,25,25,0,4,39,32,0,14,0,11,10,0,0,0,29,5,12,1,6,9,1,5,17,7,30,1,10,125,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,125,125
38.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,28,0,22,22,0,0,0,108,13,32,32,1,6,40,33,0,17,0,11,13,0,0,0,26,6,5,3,7,3,2,6,16,4,30,2,13,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,125,125
39.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,29,0,21,21,0,0,0,108,4,30,30,2,4,37,40,0,16,0,13,11,0,0,0,20,4,10,3,8,7,1,5,17,5,30,2,4,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,125,125
40.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,30,0,20,20,0,0,0,108,9,24,24,2,3,39,38,0,14,0,6,11,0,0,0,22,4,15,2,5,10,0,4,14,5,30,2,9,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,125,125
41.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,31,0,19,19,0,0,0,108,3,22,22,0,7,39,39,0,19,0,6,13,0,0,0,23,4,8,2,8,6,1,3,15,4,30,4,3,125,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,125,125
42.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,32,0,18,18,0,1,0,108,6,26,26,2,3,38,38,0,13,0,5,9,0,0,0,21,5,10,1,12,5,1,3,12,7,30,4,6,125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,125,125
43.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,33,0,17,17,1,1,0,108,10,30,30,0,4,39,43,0,17,0,5,10,0,0,0,20,3,11,1,9,6,1,3,14,6,30,3,10,125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,125,125
44.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,32,0,18,18,0,1,0,108,5,23,23,1,6,40,40,0,15,0,9,11,0,0,0,20,5,11,2,6,6,2,3,11,5,30,1,5,125,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,125,125
45.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,33,0,17,17,0,2,0,107,9,33,33,2,3,40,40,0,12,0,16,10,0,0,0,18,6,11,0,6,7,0,1,13,4,30,0,9,125,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,125,125
46.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,32,0,18,18,0,2,0,108,9,23,23,0,6,39,41,0,15,0,9,11,0,0,0,19,6,16,0,12,8,0,2,13,4,30,2,9,125,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,125,125
47.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,31,0,19,19,0,3,0,106,12,32,32,0,7,40,37,0,18,0,9,11,0,0,0,22,7,4,2,8,3,2,2,16,3,30,1,12,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,125,125
48.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,29,0,21,21,0,2,0,108,10,38,38,4,6,40,37,0,14,0,9,10,0,0,0,19,6,11,0,6,7,0,3,18,3,30,1,10,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,125,125
