# Output of 'KaSim' 'AMPA7.ka' 'camkii.ka' 'pickgrip.ka' 'Calcium_signalling1000.ka' 'Subunits.ka' 'K868.ka' 'K870.ka' 'K882.ka' '-l' '1000' '-p' '1' '-o' '1000.ka' -seed 602558605
# "uuid" : "659190814"
"[T]","Basal","Small","Medium","Large","Glu_Trigger","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","I1_P","I1_u","PKA_a","PKA_i","PKA_killer","Glutamate_level","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","AMPAR1","AMPAR12","AMPAR23","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5"
0.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,66,40,0,0,0,0,0,0,0,0,0,0,5,30,10,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
1.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,1,12,0,38,11,15,5,10,13,4,0,29,0,30,4,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
2.,140,1,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,3,16,0,40,7,18,0,17,14,0,0,23,0,30,6,0,0,141,35,141,0,0,0,0,0,141,0,0,0,0,0,141,0,0,0,0,0
3.,140,1,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,2,14,0,40,10,18,2,17,16,2,0,31,1,30,7,0,0,141,35,141,0,0,0,0,0,141,0,0,0,0,0,141,0,0,0,0,0
4.,141,0,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,22,0,3,13,0,35,15,15,7,15,14,7,0,30,1,30,2,0,0,141,35,141,0,0,0,0,0,141,0,0,0,0,0,141,0,0,0,0,0
5.,139,2,0,0,0,0,0,39,0,0,39,0,49,0,2,15,0,39.,1,39,10,49,0,0,0,22,0,1,16,0,40,13,13,4,9,13,4,0,28,0,30,1,0,0,141,35,141,0,0,0,0,0,141,0,0,0,0,0,141,0,0,0,0,0
6.,141,0,0,0,0,0,0,39,0,0,39,0,49,0,2,15,0,39.,1,39,10,49,0,0,0,22,0,1,10,0,44,10,19,4,10,17,3,0,28,1,30,3,0,0,141,35,141,0,0,0,0,0,141,0,0,0,0,0,141,0,0,0,0,0
7.,141,0,0,0,0,0,0,39,0,0,39,0,49,0,2,15,0,39.,0,39,11,50,0,0,0,21,0,3,15,0,39,13,11,9,9,7,5,0,28,0,30,1,0,0,141,35,141,0,0,0,0,0,141,0,0,0,0,0,141,0,0,0,0,0
8.,141,0,0,0,0,0,0,39,1,0,38,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,20,0,1,12,0,41,11,17,5,9,14,3,0,29,0,30,3,0,0,141,35,141,0,0,0,0,0,141,0,0,0,0,0,140,1,0,0,0,0
9.,141,0,0,0,0,0,0,39,1,0,38,0,49,1,1,15,0,39.,0,39,11,50,0,0,0,20,0,1,11,0,42,9,19,6,13,18,4,0,28,1,30,4,0,0,141,35,141,0,0,0,0,0,141,0,0,0,0,0,140,1,0,0,0,0
10.,140,1,0,0,0,0,0,39,1,0,38,0,49,0,2,15,0,39.,0,39,11,50,0,0,0,21,0,4,16,0,35,14,13,6,8,12,6,0,27,1,30,3,0,0,141,35,141,0,0,0,0,0,141,0,0,0,0,0,141,0,0,0,0,0
11.,140,1,0,0,0,0,0,39,1,0,38,0,49,0,2,15,0,39.,0,39,11,50,0,0,0,21,0,3,14,0,37,12,15,7,10,12,6,0,25,1,30,0,0,0,141,35,141,0,0,0,0,0,141,0,0,0,0,0,141,0,0,0,0,0
