# Output of 'KaSim' 'AMPA7.ka' 'camkii.ka' 'pickgrip.ka' 'Calcium_signalling100.ka' 'Subunits.ka' 'K868.ka' 'K870.ka' 'K882.ka' '-l' '1000' '-p' '1' '-o' '100.ka' -seed 1044278549
# "uuid" : "311787475"
"[T]","Basal","Small","Medium","Large","Glu_Trigger","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","I1_P","I1_u","PKA_a","PKA_i","PKA_killer","Glutamate_level","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","AMPAR1","AMPAR12","AMPAR23","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5"
0.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,66,40,0,0,0,0,0,0,0,0,0,0,5,30,10,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
1.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,3,16,0,39,11,11,10,14,10,9,0,28,1,30,6,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
2.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,1,16,0,38,13,13,3,10,13,3,0,28,1,30,7,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
3.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,1,16,0,37,13,10,6,13,9,5,0,26,1,30,6,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
4.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,2,17,0,35,15,12,5,15,11,4,0,32,0,30,7,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
5.,138,2,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,2,19,0,35,15,10,6,14,9,4,0,32,1,30,3,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
6.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,3,17,0,36,14,13,3,10,11,3,0,27,0,30,6,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
7.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,0,17,0,34,17,14,6,20,11,4,0,22,0,30,6,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
8.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,1,14,0,37,14,11,7,12,11,5,0,25,0,30,4,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,140,0,0,0,0,0
9.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,2,11,0,39,15,16,10,14,14,9,0,29,0,30,5,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,140,0,0,0,0,0
10.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,2,14,0,37,19,13,10,11,11,10,0,30,1,30,3,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,140,0,0,0,0,0
11.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,2,18,0,32,19,10,6,13,9,6,0,27,0,30,0,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,140,0,0,0,0,0
12.,138,2,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,2,16,0,32,19,12,6,16,12,5,0,26,1,30,4,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,140,0,0,0,0,0
13.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,2,17,0,33,15,17,4,13,15,4,0,26,1,30,2,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,140,0,0,0,0,0
14.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,1,16,0,34,13,12,5,10,10,4,0,28,0,30,3,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,140,0,0,0,0,0
15.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,4,15,0,31,14,11,3,13,9,3,0,32,1,30,2,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,140,0,0,0,0,0
16.,137,3,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,1,10,0,36,16,14,9,13,13,9,0,31,1,30,4,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
17.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,0,12,0,35,18,17,7,15,17,6,0,34,0,30,4,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,139,1,0,0,0,0
18.,139,2,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,4,20,0,35,16,11,5,13,10,5,0,26,1,30,2,0,0,141,35,141,0,0,0,0,0,140,1,0,0,0,0,139,2,0,0,0,0
19.,141,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,4,15,0,35,15,16,5,11,14,4,0,24,1,30,6,0,0,141,35,141,0,0,0,0,0,139,2,0,0,0,0,138,3,0,0,0,0
20.,141,1,0,0,0,0,0,39,0,0,39,0,49,0,0,15,0,39.,1,39,10,49,0,0,0,22,0,1,11,0,36,14,16,8,10,13,7,0,31,1,30,3,0,0,142,35,142,0,0,0,0,0,140,2,0,0,0,0,139,3,0,0,0,0
21.,142,0,0,0,0,0,0,39,0,0,39,0,49,0,0,15,0,39.,1,39,10,49,0,0,0,22,0,1,20,0,36,14,9,5,9,8,4,0,31,0,30,4,0,0,142,35,141,1,0,0,0,0,141,1,0,0,0,0,139,3,0,0,0,0
22.,142,0,0,0,0,0,0,39,0,0,39,0,49,0,0,15,0,39.,1,39,10,49,0,0,0,22,0,1,16,0,36,14,10,8,14,9,6,0,30,0,30,4,0,0,142,35,141,1,0,0,0,0,141,1,0,0,0,0,139,3,0,0,0,0
23.,142,0,0,0,0,0,0,38,0,0,38,0,49,0,0,15,0,38.,2,38,10,48,0,0,0,22,0,0,11,0,31,19,18,8,9,13,7,0,27,1,30,4,0,0,142,35,141,1,0,0,0,0,140,2,0,0,0,0,139,3,0,0,0,0
24.,142,0,0,0,0,0,0,38,0,0,38,0,49,0,0,15,0,38.,2,38,10,48,0,0,0,22,0,1,10,0,32,14,15,6,20,12,5,0,33,1,30,4,0,0,142,35,141,1,0,0,0,0,140,2,0,0,0,0,140,2,0,0,0,0
