# Output of 'KaSim' 'AMPA7.ka' 'camkii.ka' 'pickgrip.ka' 'Calcium_signalling3000.ka' 'Subunits.ka' 'K868.ka' 'K870.ka' 'K882.ka' '-l' '1000' '-p' '1' '-o' '3000.ka' -seed 458609736
# "uuid" : "822653674"
"[T]","Basal","Small","Medium","Large","Glu_Trigger","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","I1_P","I1_u","PKA_a","PKA_i","PKA_killer","Glutamate_level","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","AMPAR1","AMPAR12","AMPAR23","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5"
0.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,66,40,0,0,0,0,0,0,0,0,0,0,5,30,10,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
1.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,6,18,0,37,13,13,4,12,10,4,0,26,0,30,4,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
2.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,1,17,0,40,15,14,7,9,12,6,0,23,1,30,4,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
3.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,2,18,0,38,17,14,6,14,11,6,0,25,1,30,5,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
4.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,3,15,0,34,20,13,10,15,12,9,0,29,1,30,7,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
5.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,1,13,0,32,18,12,9,11,12,9,0,30,0,30,6,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
6.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,1,22,0,33,14,7,4,10,6,2,0,32,1,30,11,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
7.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,22,0,1,16,0,36,11,12,4,13,11,2,0,30,1,30,9,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
8.,138,2,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,22,0,0,17,0,35,16,13,7,15,11,5,0,25,0,30,8,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
9.,139,1,0,0,0,0,0,40,0,0,40,0,49,1,1,15,0,40.,0,40,10,50,0,0,0,22,0,2,20,0,36,16,11,5,15,9,5,0,31,0,30,5,0,0,140,35,139,1,0,0,0,0,140,0,0,0,0,0,138,2,0,0,0,0
10.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,21,0,3,17,0,35,15,12,4,14,10,3,0,27,0,30,6,0,0,140,35,139,1,0,0,0,0,140,0,0,0,0,0,138,2,0,0,0,0
11.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,21,0,2,17,0,38,13,13,3,13,12,2,0,29,1,30,6,0,0,140,35,138,2,0,0,0,0,140,0,0,0,0,0,138,2,0,0,0,0
