# Output of 'KaSim' 'AMPA7.ka' 'camkii.ka' 'pickgrip.ka' 'Calcium_signalling.ka' 'Subunits.ka' 'K868.ka' 'K870.ka' 'K882.ka' '-l' '1000' '-p' '1' '-o' 'basal.out' -seed 972262943
# "uuid" : "999915017"
"[T]","Basal","Small","Medium","Large","Glu_Trigger","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","I1_P","I1_u","PKA_a","PKA_i","PKA_killer","Glutamate_level","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","AMPAR1","AMPAR12","AMPAR23","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5"
19.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,4,11,0,35,15,17,6,10,15,5,0,29,0,30,5,0,0,140,35,139,1,0,0,0,0,138,2,0,0,0,0,139,1,0,0,0,0
20.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,2,16,0,38,16,16,6,8,14,6,0,33,1,30,3,0,0,140,35,139,1,0,0,0,0,138,2,0,0,0,0,139,1,0,0,0,0
21.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,2,14,0,35,16,15,5,10,14,5,0,25,0,30,7,0,0,140,35,139,1,0,0,0,0,139,1,0,0,0,0,139,1,0,0,0,0
22.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,2,10,0,35,13,18,6,17,16,1,0,25,1,30,2,0,0,140,35,139,1,0,0,0,0,137,3,0,0,0,0,139,1,0,0,0,0
23.,140,0,0,0,0,0,0,39,0,0,39,0,49,0,0,15,0,39.,1,39,10,49,0,0,0,22,0,2,14,0,37,13,14,4,15,12,4,0,28,0,30,1,0,0,140,35,139,1,0,0,0,0,137,3,0,0,0,0,139,1,0,0,0,0
24.,140,0,0,0,0,0,0,39,0,0,39,0,49,0,0,15,0,39.,1,39,10,49,0,0,0,22,0,1,20,0,43,9,11,4,13,10,4,0,33,0,30,6,0,0,140,35,139,1,0,0,0,0,137,3,0,0,0,0,139,1,0,0,0,0
25.,140,0,0,0,0,0,0,39,0,0,39,0,49,0,2,15,0,39.,1,39,10,49,0,0,0,22,0,6,13,0,36,12,18,4,14,16,3,0,33,0,30,1,0,0,140,35,138,2,0,0,0,0,137,3,0,0,0,0,139,1,0,0,0,0
26.,140,0,0,0,0,0,0,39,0,0,39,0,49,0,2,15,0,39.,1,39,10,49,0,0,0,22,0,4,21,0,40,9,12,4,12,11,3,0,24,0,30,3,0,0,140,35,138,2,0,0,0,0,137,3,0,0,0,0,139,1,0,0,0,0
27.,140,0,0,0,0,0,0,39,0,0,39,1,48,1,1,15,0,39.,1,39,10,49,0,0,0,21,0,1,14,0,42,11,20,4,13,14,2,0,28,0,30,2,0,0,140,35,137,3,0,0,0,0,137,3,0,0,0,0,139,1,0,0,0,0
28.,139,1,0,0,0,0,0,39,0,0,39,3,46,2,0,15,0,39.,1,39,10,49,0,0,0,19,0,1,17,0,39,13,14,5,11,13,4,0,23,1,30,1,0,0,140,35,137,3,0,0,0,0,135,5,0,0,0,0,139,1,0,0,0,0
29.,140,0,0,0,0,0,0,39,0,0,39,3,46,0,2,15,0,39.,1,39,10,49,0,0,0,19,0,1,13,0,38,14,16,6,15,14,5,0,26,0,30,2,0,0,140,35,136,3,1,0,0,0,136,4,0,0,0,0,139,1,0,0,0,0
30.,137,3,0,0,0,0,0,39,0,0,39,3,46,0,2,15,0,39.,1,39,10,49,0,0,0,19,0,1,9,0,43,9,19,5,13,18,3,0,26,1,30,3,0,0,140,35,136,3,1,0,0,0,137,3,0,0,0,0,138,2,0,0,0,0
31.,140,0,0,0,0,0,0,39,0,0,39,3,46,0,2,15,0,39.,1,39,10,49,0,0,0,18,0,2,16,0,37,15,12,7,16,12,5,0,27,0,30,3,0,0,140,35,136,3,1,0,0,0,137,3,0,0,0,0,138,2,0,0,0,0
32.,139,1,0,0,0,0,0,39,0,0,39,3,46,0,2,15,0,39.,1,39,10,49,0,0,0,18,0,4,16,0,35,15,13,6,10,12,5,0,28,1,30,0,0,0,140,35,137,2,1,0,0,0,137,3,0,0,0,0,138,2,0,0,0,0
33.,139,1,0,0,0,0,0,39,0,0,39,2,47,0,2,15,0,39.,1,39,10,49,0,0,0,18,0,0,12,0,39,15,17,6,11,16,5,0,26,0,30,2,0,0,140,35,138,1,1,0,0,0,136,4,0,0,0,0,138,2,0,0,0,0
34.,139,2,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,16,0,6,16,0,35,14,17,3,11,13,3,0,25,0,30,3,0,0,141,35,139,1,1,0,0,0,138,3,0,0,0,0,139,2,0,0,0,0
35.,141,0,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,20,0,3,16,0,37,14,15,5,7,14,5,0,24,0,30,2,0,0,141,35,138,2,1,0,0,0,138,3,0,0,0,0,139,2,0,0,0,0
36.,140,1,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,20,0,2,15,0,36,15,13,8,13,11,7,0,33,1,30,1,0,0,141,35,138,2,1,0,0,0,137,4,0,0,0,0,139,2,0,0,0,0
37.,141,0,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,20,0,1,15,0,37,15,16,6,16,14,5,0,32,0,30,1,0,0,141,35,137,3,1,0,0,0,137,4,0,0,0,0,138,3,0,0,0,0
