# Output of 'KaSim' 'AMPA7.ka' 'camkii.ka' 'pickgrip.ka' 'Calcium_signalling2000.ka' 'Subunits.ka' 'K868.ka' 'K870.ka' 'K882.ka' '-l' '1000' '-p' '1' '-o' '2000.ka' -seed 900462835
# "uuid" : "977965729"
"[T]","Basal","Small","Medium","Large","Glu_Trigger","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","I1_P","I1_u","PKA_a","PKA_i","PKA_killer","Glutamate_level","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","AMPAR1","AMPAR12","AMPAR23","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5"
0.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,66,40,0,0,0,0,0,0,0,0,0,0,5,30,10,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
1.,140,0,0,0,0,0,0,40,0,0,40,0,49,1,1,15,0,40.,0,40,10,50,0,0,0,22,0,2,15,0,38,15,15,6,11,14,6,0,24,1,30,4,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
2.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,22,0,2,21,0,40,13,13,2,15,12,2,0,28,1,30,2,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
3.,139,1,0,0,0,0,0,40,0,0,40,0,49,1,1,15,0,40.,0,40,10,50,0,0,0,22,0,2,17,0,39,12,19,1,12,17,1,0,31,0,30,2,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
4.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,22,0,0,17,0,40,12,17,2,13,15,1,0,29,1,30,3,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
5.,140,0,0,0,0,0,0,40,0,0,40,1,48,0,2,15,0,40.,0,40,10,50,0,0,0,21,0,1,20,0,38,11,12,2,15,10,2,0,28,1,30,2,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,140,0,0,0,0,0
6.,140,0,0,0,0,0,0,40,0,0,40,1,48,0,2,15,0,40.,0,40,10,50,0,0,0,21,0,4,19,0,35,13,11,6,11,11,5,0,27,1,30,1,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,140,0,0,0,0,0
7.,141,0,0,0,0,0,0,40,0,0,40,1,48,0,2,15,0,40.,0,40,10,50,0,0,0,21,0,4,18,0,38,13,13,3,13,12,3,0,32,0,30,2,0,0,141,35,141,0,0,0,0,0,140,1,0,0,0,0,141,0,0,0,0,0
8.,139,2,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,21,0,3,14,0,37,16,13,6,10,11,4,0,35,0,30,3,0,0,141,35,141,0,0,0,0,0,140,1,0,0,0,0,140,1,0,0,0,0
9.,141,0,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,21,0,4,17,0,38,15,17,4,19,15,4,0,27,1,30,4,0,0,141,35,141,0,0,0,0,0,140,1,0,0,0,0,140,1,0,0,0,0
