# Output of 'KaSim' 'AMPA7.ka' 'camkii.ka' 'pickgrip.ka' 'Calcium_signalling500.ka' 'Subunits.ka' 'K868.ka' 'K870.ka' 'K882.ka' '-l' '1000' '-p' '1' '-o' '500.ka' -seed 131919287
# "uuid" : "776261346"
"[T]","Basal","Small","Medium","Large","Glu_Trigger","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","I1_P","I1_u","PKA_a","PKA_i","PKA_killer","Glutamate_level","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","AMPAR1","AMPAR12","AMPAR23","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5"
0.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,66,40,0,0,0,0,0,0,0,0,0,0,5,30,10,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
1.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,1,20,0,41,12,10,5,12,10,3,0,27,1,30,5,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
2.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,22,0,6,18,0,42,10,14,4,15,13,4,0,26,1,30,5,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
3.,138,2,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,22,0,2,23,0,42,15,11,2,14,10,2,0,25,1,30,2,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
4.,138,2,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,22,0,1,19,0,41,15,14,3,15,14,2,0,33,0,30,3,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
5.,138,2,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,22,0,3,16,0,39,15,17,5,13,15,5,0,31,1,30,3,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,139,1,0,0,0,0
6.,137,3,0,0,0,0,0,40,0,0,40,0,49,1,1,15,0,40.,0,40,10,50,0,0,0,21,0,2,22,0,40,13,12,2,14,11,2,0,29,1,30,2,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,138,2,0,0,0,0
7.,140,0,0,0,0,0,0,40,0,0,40,1,48,0,2,15,0,40.,0,40,10,50,0,0,0,20,0,1,14,0,41,13,17,5,11,16,5,0,25,1,30,3,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,138,2,0,0,0,0
8.,140,0,0,0,0,0,0,40,0,0,40,1,48,0,2,15,0,40.,0,40,10,50,0,0,0,20,0,1,13,0,38,15,13,10,8,10,10,0,28,1,30,4,0,0,140,35,140,0,0,0,0,0,139,1,0,0,0,0,138,2,0,0,0,0
9.,139,1,0,0,0,0,0,40,0,0,40,1,48,0,2,15,0,40.,0,40,10,50,0,0,0,20,0,4,15,0,35,15,18,3,10,15,3,0,28,1,30,6,0,0,140,35,140,0,0,0,0,0,138,2,0,0,0,0,138,2,0,0,0,0
